School District,City,County,State
Polk County Schools,Benton,Polk,Tennessee
Putnam County School System,Cookeville,Putnam,Tennessee
Rhea County School District in Dayton,Dayton,Rhea,Tennessee
Rhea County Schools,Dayton,Rhea,Tennessee
Richard City Special School District,South Pittsburg,Marion,Tennessee
Roane County Schools,Kingston,Roane,Tennessee
Robertson County Schools,Springfield,Robertson,Tennessee
Rogersville City School District,Rogersville,Hawkins,Tennessee
Rutherford County School District in Murfreesboro,Murfreesboro,Rutherford,Tennessee
Rutherford County Schools,Murfreesboro,Rutherford,Tennessee
Scott County Schools,Huntsville,Scott,Tennessee
Sequatchie County Schools,Dunlap,Sequatchie,Tennessee
Sevier County Schools,Sevierville,Sevier,Tennessee
Smith County Schools,Carthage,Smith,Tennessee
South Carroll Special School District,Clarksburg,Carroll,Tennessee
Stewart County Schools,Dover,Stewart,Tennessee
Sullivan County Schools,Blountville,Sullivan,Tennessee
Sumner County Schools,Gallatin,Sumner,Tennessee
Sweetwater City Schools,Sweetwater,Monroe,Tennessee
Tipton County Schools,Covington,Tipton,Tennessee
Trenton Special School District,Trenton,Gibson,Tennessee
Trousdale County Schools,Hartsville,Trousdale,Tennessee
Tullahoma City Schools,Tullahoma,Coffee,Tennessee
Unicoi County Schools,Erwin,Unicoi,Tennessee
Union City Schools,Union City,Obion,Tennessee
Union County Public Schools,Maynardville,Union,Tennessee
Van Buren County Schools,Spencer,Van Buren,Tennessee
Warren County Schools,McMinnville,Warren,Tennessee
Washington County Schools,Jonesborough,Washington,Tennessee
Wayne County Schools,Waynesboro,Wayne,Tennessee
Weakley County Schools,Dresden,Weakley,Tennessee
West Carroll Special District,Atwood,Carroll,Tennessee
White County Schools,Sparta,White,Tennessee
Williamson County School District in Franklin,Franklin,Williamson,Tennessee
Williamson County Schools,Franklin,Williamson,Tennessee
Wilson County School District in Lebanon,Lebanon,Wilson,Tennessee
Wilson County Schools,Lebanon,Wilson,Tennessee
