School District,City,County,State,,,,,,,,,,"Alexander, Anamoose, Menoken, Ashley, Wimbledon, Beach, Belcourt, Belfield, Beulah, Medora, Bismarck, Bottineau, Bowbells, Bowman, Lignite, Carrington, Cavalier, Center, Casselton, Buxton, Petersburg, Devils Lake, Dickinson, Crosby, Drake, Drayton, Dunseith, Edgeley, Trenton, Elgin, Ellendale, Emerado, Enderlin, Fairmount, Fargo, Fessenden, Finley, Flasher, Fordville, Fort Ransom, Fort Totten, Fort Yates, Gackle, Garrison, Glenburn, Glen Ullin, Grafton, Grafton, Grand Forks, Grenora, Cooperstown, Hankinson, Harvey, Hatton, Hazelton, Hazen, Hebron, Hettinger, Hillsboro, Hope, Cartwright, Jamestown, Kenmare, Kensal, Steele, Killdeer, Kindred, Kulm, Lakota, LaMoure, Langdon, Larimore, Leeds, Plaza, Lidgerwood, Linton, Lisbon, Marion, St. Anthony, Golva, Maddock, Mandan, Mandaree, Manning, Manvel, Mapleton, Tower City, Marmarth, Max, Mayville, McClusky, Watford City, Medina, Menoken, Glenfield, Inkster, Milnor, Minnewaukan, Minot, Minto, Mohall, Montpelier, Mott, Rolla, Munich, Napoleon, Bismarck, Minot, Ray, Newburg, New England, New Rockford, New Salem, New Town, Walhalla, Hunter, Gwinner, Cando, Northwood, Oakes, Oberon, Park River, Parshall, Pingree, Powers Lake, Richardton, Colfax, Rolette, Carson, Rugby, Forman, Sawyer, Scranton, Selfridge, Solen, South Heart, Minot, Stanley, Starkweather, Sterling, St. John, Strasburg, Surrey, Mandan, Towner, Thompson, Tioga, Turtle Lake, Halliday, Underwood, Des Lacs, Valley City, Hoople, Velva, Wahpeton, Warwick, Washburn, West Fargo, Westhope, Roseglen, Williston, Wilton, Wing, Wishek, Wyndmere, East Fairview, Zeeland"
Fort Totten Public School District,Fort Totten,Benson,North Dakota,,,,,,,,,,
Fort Yates Public School District,Fort Yates,Sioux,North Dakota,,,,,,,,,,
Gackle-Streeter Public School District,Gackle,Logan,North Dakota,,,,,,,,,,
Garrison Public School District,Garrison,McLean,North Dakota,,,,,,,,,,
Glenburn Public School District,Glenburn,Renville,North Dakota,,,,,,,,,,
Glen Ullin Public School District,Glen Ullin,Morton,North Dakota,,,,,,,,,,
Grafton Public School District,Grafton,Walsh,North Dakota,,,,,,,,,,
Grafton Public School District 18,Grafton,Walsh,North Dakota,,,,,,,,,,
Grand Forks Public School District,Grand Forks,Grand Forks,North Dakota,,,,,,,,,,
Grenora Public School District,Grenora,Williams,North Dakota,,,,,,,,,,
Griggs County Central School District,Cooperstown,Griggs,North Dakota,,,,,,,,,,
Hankinson Public School District,Hankinson,Richland,North Dakota,,,,,,,,,,
Harvey Public School District,Harvey,Wells,North Dakota,,,,,,,,,,
Hatton Public School District,Hatton,Traill,North Dakota,,,,,,,,,,
Hazelton-Moffit-Braddock Public School District,Hazelton,Emmons,North Dakota,,,,,,,,,,
Hazen Public School District,Hazen,Mercer,North Dakota,,,,,,,,,,
Hebron Public School District,Hebron,Morton,North Dakota,,,,,,,,,,
Hettinger Public School District,Hettinger,Adams,North Dakota,,,,,,,,,,
Hillsboro Public School District,Hillsboro,Traill,North Dakota,,,,,,,,,,
Hope-Page Public School District 85,Hope,Steele,North Dakota,,,,,,,,,,
Horse Creek Public School District,Cartwright,McKenzie,North Dakota,,,,,,,,,,
Jamestown Public School District,Jamestown,Stutsman,North Dakota,,,,,,,,,,
Kenmare Public School District,Kenmare,Ward,North Dakota,,,,,,,,,,
Kensal Public School District,Kensal,Stutsman,North Dakota,,,,,,,,,,
