School District,City,County,State
Colfax Township School District 1F,Colfax Township,Huron,Michigan
Coloma Community Schools,Coloma,Berrien,Michigan
Colon Community School District,Colon,St. Joseph,Michigan
Columbia School District,Brooklyn,Jackson,Michigan
Comstock Park Public Schools,Comstock Park,Kent,Michigan
Comstock Public Schools,Comstock,Kalamazoo,Michigan
Concord Community Schools,Concord,Jackson,Michigan
Constantine Public Schools,Constantine,St. Joseph,Michigan
Coopersville Public School District,Coopersville,Ottawa,Michigan
Corunna Public School District,Corunna,Shiawassee,Michigan
Covert Public Schools,Covert,Van Buren,Michigan
Crawford AuSable Schools,Grayling,Crawford,Michigan
Crestwood School District,Dearborn Heights,Wayne,Michigan
Croswell-Lexington Community Schools,Croswell,Sanilac,Michigan
Dansville Schools,Dansville,Ingham,Michigan
Davison Community Schools,Davison,Genesee,Michigan
Dearborn Heights School District 7,Dearborn Heights,Wayne,Michigan
Dearborn Public Schools,Dearborn,Wayne,Michigan
Decatur Public Schools,Decatur,Van Buren,Michigan
Deckerville Community School District,Deckerville,Sanilac,Michigan
Delton Kellogg Schools,Delton,Barry,Michigan
DeTour Area Schools,DeTour Village,Chippewa,Michigan
Detroit Public Schools Community District,Detroit,Wayne,Michigan
DeWitt Public Schools,DeWitt,Clinton,Michigan
Dexter Community School District,Dexter,Washtenaw,Michigan
Dollar Bay-Tamarack City Area Schools,Dollar Bay,Houghton,Michigan
Dowagiac Union Schools,Dowagiac,Cass,Michigan
Dryden Community Schools,Dryden,Lapeer,Michigan
Dundee Community Schools,Dundee,Monroe,Michigan
Durand Area Schools,Durand,Shiawassee,Michigan
East China School District,East China Township,St. Clair,Michigan
East Grand Rapids Public Schools,East Grand Rapids,Kent,Michigan
East Jackson Community Schools,Jackson,Jackson,Michigan
East Jordan Public Schools,East Jordan,Charlevoix,Michigan
East Lansing School District,East Lansing,Ingham,Michigan
Easton Township School District 6,Easton Township,Ionia,Michigan
Eastpointe Community Schools,Eastpointe,Macomb,Michigan
Eaton Rapids Public Schools,Eaton Rapids,Eaton,Michigan
Eau Claire Public Schools,Eau Claire,Berrien,Michigan
Ecorse Public School District,Ecorse,Wayne,Michigan
Edwardsburg Public Schools,Edwardsburg,Cass,Michigan
Elk Rapids Schools,Elk Rapids,Antrim,Michigan
Elkton-Pigeon-Bay Port Schools,Elkton,Huron,Michigan
Ellsworth Community School District,Ellsworth,Antrim,Michigan
Elm River Township School District,Elm River Township,Houghton,Michigan
Engadine Consolidated Schools,Engadine,Mackinac,Michigan
Escanaba Area Public Schools,Escanaba,Delta,Michigan
Essexville-Hampton Public Schools,Essexville,Bay,Michigan
Evart Public Schools,Evart,Osceola,Michigan
Ewen-Trout Creek Consolidated School District,Ewen,Ontonagon,Michigan
Excelsior Township School District 1,Excelsior Township,Kalkaska,Michigan
Fairview Area School District,Fairview,Oscoda,Michigan
Farmington Public School District,Farmington Hills,Oakland,Michigan
Farwell Area Schools,Farwell,Clare,Michigan
Fennville Public Schools,Fennville,Allegan,Michigan
Fenton Area Public Schools,Fenton,Genesee,Michigan
Ferndale Public Schools,Ferndale,Oakland,Michigan
Fitzgerald Public Schools,Warren,Macomb,Michigan
Flat Rock Community Schools,Flat Rock,Wayne,Michigan
Flint City School District,Flint,Genesee,Michigan
Flushing Community Schools,Flushing,Genesee,Michigan
Forest Area Community Schools,Fife Lake,Kalkaska,Michigan
Forest Hills Public Schools,Grand Rapids,Kent,Michigan
Forest Park School District,Crystal Falls,Iron,Michigan
Fowler Public Schools,Fowler,Clinton,Michigan
Fowlerville Community Schools,Fowlerville,Livingston,Michigan
Frankenmuth School District,Frankenmuth,Saginaw,Michigan
Frankfort-Elberta Area Schools,Frankfort,Benzie,Michigan
Fraser Public Schools,Fraser,Macomb,Michigan
Freeland Community School District,Freeland,Saginaw,Michigan
Fremont Public School District,Fremont,Newaygo,Michigan
Fruitport Community Schools,Fruitport,Muskegon,Michigan
Fulton Schools,Middleton,Gratiot,Michigan
Galesburg-Augusta Community Schools,Galesburg,Kalamazoo,Michigan
Garden City School District,Garden City,Wayne,Michigan
Gaylord Community Schools,Gaylord,Otsego,Michigan
Genesee School District,Genesee,Genesee,Michigan
Gibraltar School District,Gibraltar,Wayne,Michigan
Gladstone Area Schools,Gladstone,Delta,Michigan
Gladwin Community Schools,Gladwin,Gladwin,Michigan
Glen Lake Community Schools,Maple City,Leelanau,Michigan
Glenn Public School District,Glenn,Allegan,Michigan
Gobles Public School District,Gobles,Van Buren,Michigan
Godfrey-Lee Public Schools,Wyoming,Kent,Michigan
Godwin Heights Public Schools,Wyoming,Kent,Michigan
Goodrich Area Schools,Goodrich,Genesee,Michigan
Grand Blanc Community Schools,Grand Blanc,Genesee,Michigan
Grand Haven Area Public Schools,Grand Haven,Ottawa,Michigan
Grand Ledge Public Schools,Grand Ledge,Eaton,Michigan
Grand Rapids Public Schools,Grand Rapids,Kent,Michigan
Grandville Public Schools,Grandville,Kent,Michigan
Grant Public School District,Grant,Newaygo,Michigan
Grant Township School District 2,Grant Township,Newaygo,Michigan
Grass Lake Community Schools,Grass Lake,Jackson,Michigan
Greenville Public Schools,Greenville,Montcalm,Michigan
Grosse Ile Township Schools,Grosse Ile,Wayne,Michigan
Grosse Pointe Public Schools,Grosse Pointe,Wayne,Michigan
Gull Lake Community Schools,Richland,Kalamazoo,Michigan
Gwinn Area Community Schools,Gwinn,Marquette,Michigan
Hagar Township School District 6,Hagar Township,Berrien,Michigan
Hale Area Schools,Hale,Iosco,Michigan
Hamilton Community Schools,Hamilton,Allegan,Michigan
Hamtramck Public Schools,Hamtramck,Wayne,Michigan
Hancock Public Schools,Hancock,Houghton,Michigan
Hanover-Horton Schools,Hanover,Jackson,Michigan
Harbor Beach Community Schools,Harbor Beach,Huron,Michigan
Harbor Springs School District,Harbor Springs,Emmet,Michigan
Harper Creek Community Schools,Battle Creek,Calhoun,Michigan
Harper Woods School District,Harper Woods,Wayne,Michigan
Harrison Community Schools,Harrison,Clare,Michigan
Hart Public School District,Hart,Oceana,Michigan
Hartford Public School District,Hartford,Van Buren,Michigan
Hartland Consolidated Schools,Hartland,Livingston,Michigan
Haslett Public Schools,Haslett,Ingham,Michigan
Hastings Area School District,Hastings,Barry,Michigan
Hazel Park Schools,Hazel Park,Oakland,Michigan
Hemlock Public School District,Hemlock,Saginaw,Michigan
Hesperia Community Schools,Hesperia,Oceana,Michigan
Highland Park City Schools,Highland Park,Wayne,Michigan
Hillman Community Schools,Hillman,Montmorency,Michigan
Hillsdale Community Schools,Hillsdale,Hillsdale,Michigan
Holland City School District,Holland,Ottawa,Michigan
Holly Area School District,Holly,Oakland,Michigan
Holton Public Schools,Holton,Muskegon,Michigan
Holt Public Schools,Holt,Ingham,Michigan
Homer Community Schools,Homer,Calhoun,Michigan
Hopkins Public Schools,Hopkins,Allegan,Michigan
Houghton Lake Community Schools,Houghton Lake,Roscommon,Michigan
Houghton-Portage Township Schools,Houghton,Houghton,Michigan
Howell Public Schools,Howell,Livingston,Michigan
Hudson Area Schools,Hudson,Lenawee,Michigan
Hudsonville Public School District,Hudsonville,Ottawa,Michigan
Huron School District,New Boston,Wayne,Michigan
Huron Valley Schools,Highland,Oakland,Michigan
Ida Public School District,Ida,Monroe,Michigan
Imlay City Community Schools,Imlay City,Lapeer,Michigan
Inland Lakes Schools,Indian River,Cheboygan,Michigan
Ionia Public Schools,Ionia,Ionia,Michigan
Ionia Township School District 2,Ionia Township,Ionia,Michigan
Iron Mountain Public Schools,Iron Mountain,Dickinson,Michigan
Ironwood Area Schools,Ironwood,Gogebic,Michigan
Ishpeming Public School District,Ishpeming,Marquette,Michigan
Ithaca Public Schools,Ithaca,Gratiot,Michigan
Jackson Public Schools,Jackson,Jackson,Michigan
Jefferson Schools,Monroe,Monroe,Michigan
Jenison Public Schools,Jenison,Ottawa,Michigan
Johannesburg-Lewiston Area Schools,Johannesburg,Otsego,Michigan
