School District,City,County,State
Millinocket School Department,Millinocket,Penobscot,Maine
Monhegan Plantation School Department,Monhegan,Lincoln,Maine
Moosabec Community School District,Jonesport,Washington,Maine
Mount Desert Community School District,Mount Desert,Hancock,Maine
Mount Desert Public Schools,Mount Desert,Hancock,Maine
Nobleboro School Department,Nobleboro,Lincoln,Maine
North Haven Community School,North Haven,Knox,Maine
Northport School Department,Northport,Waldo,Maine
Orrington School Department,Orrington,Penobscot,Maine
Otis School Department,Otis,Hancock,Maine
Oxford Unorganized Territory School District,Paris,Oxford,Maine
Pembroke School Department,Pembroke,Washington,Maine
Penobscot School Department,Penobscot,Hancock,Maine
Perry School Department,Perry,Washington,Maine
Piscataquis Unorganized Territory School District,Dover-Foxcroft,Piscataquis,Maine
Portland School Department,Portland,Cumberland,Maine
Princeton School Department,Princeton,Washington,Maine
Rangeley Lakes Regional School,Rangeley,Franklin,Maine
Regional School Unit 01,Bath,Sagadahoc,Maine
Regional School Unit 02,Hallowell,Kennebec,Maine
Regional School Unit 04,Sabattus,Androscoggin,Maine
Regional School Unit 05,Freeport,Cumberland,Maine
Regional School Unit 09,Farmington,Franklin,Maine
Regional School Unit 10,Rumford,Oxford,Maine
Regional School Unit 12,Chelsea,Kennebec,Maine
Regional School Unit 13,Rockland,Knox,Maine
Regional School Unit 14,Windham,Cumberland,Maine
Regional School Unit 16,Mechanic Falls,Androscoggin,Maine
Regional School Unit 18,Oakland,Kennebec,Maine
Regional School Unit 19,Newport,Penobscot,Maine
Regional School Unit 20,Belfast,Waldo,Maine
Regional School Unit 21,Kennebunk,York,Maine
Regional School Unit 22,Hampden,Penobscot,Maine
Regional School Unit 23,Old Orchard Beach,York,Maine
Regional School Unit 24,Ellsworth,Hancock,Maine
Regional School Unit 25,Bucksport,Hancock,Maine
Regional School Unit 26,Orono,Penobscot,Maine
Regional School Unit 34,Old Town,Penobscot,Maine
Regional School Unit 38,Manchester,Kennebec,Maine
Regional School Unit 39,Caribou,Aroostook,Maine
Regional School Unit 50,Litchfield,Kennebec,Maine
Regional School Unit 56,Dixfield,Oxford,Maine
Regional School Unit 67,Lincoln,Penobscot,Maine
Regional School Unit 71,Belfast,Waldo,Maine
Regional School Unit 73,Jay,Franklin,Maine
Regional School Unit 82,Jackman,Somerset,Maine
Regional School Unit 87,Carmel,Penobscot,Maine
Regional School Unit 89,St. Agatha,Aroostook,Maine
Richmond Public Schools,Richmond,Sagadahoc,Maine
Saco School Department,Saco,York,Maine
Sagadahoc Unorganized Territory School District,Bath,Sagadahoc,Maine
Sanford School Department,Sanford,York,Maine
Scarborough School Department,Scarborough,Cumberland,Maine
Sebago School Department,Sebago,Cumberland,Maine
Sedgwick School Department,Sedgwick,Hancock,Maine
Somerset Unorganized Territory School District,Skowhegan,Somerset,Maine
South Bristol School Department,South Bristol,Lincoln,Maine
South Portland School Department,South Portland,Cumberland,Maine
Southport School Department,Southport,Lincoln,Maine
Southwest Harbor School Department,Southwest Harbor,Hancock,Maine
St. George Municipal School Unit,St. George,Knox,Maine
Surry School Department,Surry,Hancock,Maine
Tremont School Department,Tremont,Hancock,Maine
Trenton School Department,Trenton,Hancock,Maine
Vassalboro School Department,Vassalboro,Kennebec,Maine
Veazie School Department,Veazie,Penobscot,Maine
Vinalhaven School,Vinalhaven,Knox,Maine
Washington Unorganized Territory School District,Machias,Washington,Maine
Waterville School Department,Waterville,Kennebec,Maine
Wells-Ogunquit Community School District,Wells,York,Maine
Wesley School Department,Wesley,Washington,Maine
West Bath School Department,West Bath,Sagadahoc,Maine
Westbrook School Department,Westbrook,Cumberland,Maine
Whiting School Department,Whiting,Washington,Maine
Winslow School Department,Winslow,Kennebec,Maine
Winthrop School Department,Winthrop,Kennebec,Maine
Wiscasset School Department,Wiscasset,Lincoln,Maine
Woodland School Department,Woodland,Washington,Maine
Yarmouth School Department,Yarmouth,Cumberland,Maine
York School Department,York,York,Maine
