School District,City,County,State
Freedom Area School District,Freedom,Outagamie,Wisconsin
Galesville-Ettrick-Trempealeau School District,Galesville,Trempealeau,Wisconsin
Geneva Joint No. 4 School District,Lake Geneva,Walworth,Wisconsin
Genoa City Joint No. 2 School District,Genoa City,Walworth,Wisconsin
Germantown School District,Germantown,Washington,Wisconsin
Gibraltar Area School District,Fish Creek,Door,Wisconsin
Gillett School District,Gillett,Oconto,Wisconsin
Gilman School District,Gilman,Taylor,Wisconsin
Gilmanton School District,Gilmanton,Buffalo,Wisconsin
Glendale-River Hills School District,Glendale,Milwaukee,Wisconsin
Glenwood City School District,Glenwood City,St. Croix,Wisconsin
Goodman-Armstrong School District,Goodman,Marinette,Wisconsin
Grafton School District,Grafton,Ozaukee,Wisconsin
Granton Area School District,Granton,Clark,Wisconsin
Grantsburg School District,Grantsburg,Burnett,Wisconsin
Green Bay Area Public School District,Green Bay,Brown,Wisconsin
Greendale School District,Greendale,Milwaukee,Wisconsin
Greenfield School District,Greenfield,Milwaukee,Wisconsin
Green Lake School District,Green Lake,Green Lake,Wisconsin
Greenwood School District,Greenwood,Clark,Wisconsin
Gresham School District,Gresham,Shawano,Wisconsin
Hamilton School District,Sussex,Waukesha,Wisconsin
Hartford Joint No. 1 School District,Hartford,Washington,Wisconsin
Hartford Union High School District,Hartford,Washington,Wisconsin
Hartland-Lakeside Joint No. 3 School District,Hartland,Waukesha,Wisconsin
Hayward Community School District,Hayward,Sawyer,Wisconsin
Herman-Neosho-Rubicon School District,Neosho,Dodge,Wisconsin
Highland School District,Highland,Iowa,Wisconsin
Hilbert School District,Hilbert,Calumet,Wisconsin
Hillsboro School District,Hillsboro,Vernon,Wisconsin
Holy Hill Area School District,Hubertus,Washington,Wisconsin
Horicon School District,Horicon,Dodge,Wisconsin
Hortonville School District,Hortonville,Outagamie,Wisconsin
Howards Grove School District,Howards Grove,Sheboygan,Wisconsin
Howard-Suamico School District,Green Bay,Brown,Wisconsin
Hudson School District,Hudson,St. Croix,Wisconsin
Hurley School District,Hurley,Iron,Wisconsin
Hustisford School District,Hustisford,Dodge,Wisconsin
Independence School District,Independence,Trempealeau,Wisconsin
Iola-Scandinavia School District,Iola,Waupaca,Wisconsin
Iowa-Grant School District,Livingston,Iowa,Wisconsin
Ithaca School District,Ithaca,Richland,Wisconsin
Janesville School District,Janesville,Rock,Wisconsin
Jefferson School District,Jefferson,Jefferson,Wisconsin
Johnson Creek School District,Johnson Creek,Jefferson,Wisconsin
Juda School District,Juda,Green,Wisconsin
Kaukauna Area School District,Kaukauna,Outagamie,Wisconsin
Kenosha Unified School District,Kenosha,Kenosha,Wisconsin
Kettle Moraine School District,Wales,Waukesha,Wisconsin
Kewaskum School District,Kewaskum,Washington,Wisconsin
Kewaunee School District,Kewaunee,Kewaunee,Wisconsin
Kickapoo Area School District,Viola,Vernon,Wisconsin
Kiel Area School District,Kiel,Manitowoc,Wisconsin
Kimberly Area School District,Kimberly,Outagamie,Wisconsin
Kohler School District,Kohler,Sheboygan,Wisconsin
Lac du Flambeau School District,Lac du Flambeau,Vilas,Wisconsin
La Farge School District,La Farge,Vernon,Wisconsin
Lake Country School District,Hartland,Waukesha,Wisconsin
Lake Geneva-Genoa City Union High School District,Lake Geneva,Walworth,Wisconsin
Lake Geneva Joint No. 1 School District,Lake Geneva,Walworth,Wisconsin
Lake Holcombe School District,Holcombe,Chippewa,Wisconsin
Lakeland Union High School District,Minocqua,Oneida,Wisconsin
Lake Mills Area School District,Lake Mills,Jefferson,Wisconsin
Lancaster Community School District,Lancaster,Grant,Wisconsin
Laona School District,Laona,Forest,Wisconsin
Lena School District,Lena,Oconto,Wisconsin
Linn Joint No. 4 School District,Zenda,Walworth,Wisconsin
Linn Joint No. 6 School District,Genoa City,Walworth,Wisconsin
Little Chute Area School District,Little Chute,Outagamie,Wisconsin
Lodi School District,Lodi,Columbia,Wisconsin
Lomira School District,Lomira,Dodge,Wisconsin
Loyal School District,Loyal,Clark,Wisconsin
Luck School District,Luck,Polk,Wisconsin
Luxemburg-Casco School District,Luxemburg,Kewaunee,Wisconsin
Madison Metropolitan School District,Madison,Dane,Wisconsin
Manawa School District,Manawa,Waupaca,Wisconsin
Manitowoc Public School District,Manitowoc,Manitowoc,Wisconsin
Maple Dale-Indian Hill School District,Fox Point,Milwaukee,Wisconsin
Maple School District,Maple,Douglas,Wisconsin
Marathon City School District,Marathon,Marathon,Wisconsin
Marinette School District,Marinette,Marinette,Wisconsin
Marion School District,Marion,Waupaca,Wisconsin
Markesan School District,Markesan,Green Lake,Wisconsin
Marshall School District,Marshall,Dane,Wisconsin
Mauston School District,Mauston,Juneau,Wisconsin
Mayville School District,Mayville,Dodge,Wisconsin
McFarland School District,McFarland,Dane,Wisconsin
Medford Area School District,Medford,Taylor,Wisconsin
Mellen School District,Mellen,Ashland,Wisconsin
Melrose-Mindoro School District,Melrose,Jackson,Wisconsin
Menasha Joint School District,Menasha,Winnebago,Wisconsin
Menominee Indian School District,Keshena,Menominee,Wisconsin
Menomonee Falls School District,Menomonee Falls,Waukesha,Wisconsin
Menomonie Area School District,Menomonie,Dunn,Wisconsin
Mequon-Thiensville School District,Mequon,Ozaukee,Wisconsin
Mercer School District,Mercer,Iron,Wisconsin
Merrill Area School District,Merrill,Lincoln,Wisconsin
Merton Community School District,Merton,Waukesha,Wisconsin
Middleton-Cross Plains Area School District,Middleton,Dane,Wisconsin
Milton School District,Milton,Rock,Wisconsin
Milwaukee Public Schools,Milwaukee,Milwaukee,Wisconsin
Mineral Point School District,Mineral Point,Iowa,Wisconsin
Minocqua Joint No. 1 School District,Minocqua,Oneida,Wisconsin
Mishicot School District,Mishicot,Manitowoc,Wisconsin
Mondovi School District,Mondovi,Buffalo,Wisconsin
Monona Grove School District,Monona,Dane,Wisconsin
Monroe School District,Monroe,Green,Wisconsin
Montello School District,Montello,Marquette,Wisconsin
Monticello School District,Monticello,Green,Wisconsin
Mosinee School District,Mosinee,Marathon,Wisconsin
Mount Horeb Area School District,Mount Horeb,Dane,Wisconsin
Mukwonago Area School District,Mukwonago,Waukesha,Wisconsin
Muskego-Norway Schools,Muskego,Waukesha,Wisconsin
Necedah Area School District,Necedah,Juneau,Wisconsin
Neenah Joint School District,Neenah,Winnebago,Wisconsin
Neillsville School District,Neillsville,Clark,Wisconsin
Nekoosa School District,Nekoosa,Wood,Wisconsin
New Auburn School District,New Auburn,Chippewa,Wisconsin
New Berlin School District,New Berlin,Waukesha,Wisconsin
New Glarus School District,New Glarus,Green,Wisconsin
New Holstein School District,New Holstein,Calumet,Wisconsin
New Lisbon School District,New Lisbon,Juneau,Wisconsin
New London School District,New London,Outagamie,Wisconsin
New Richmond School District,New Richmond,St. Croix,Wisconsin
Niagara School District,Niagara,Marinette,Wisconsin
Nicolet Union High School District,Glendale,Milwaukee,Wisconsin
Norris School District,Franklin,Milwaukee,Wisconsin
North Cape School District,Franksville,Racine,Wisconsin
North Crawford School District,Soldiers Grove,Crawford,Wisconsin
Northern Ozaukee School District,Fredonia,Ozaukee,Wisconsin
North Fond du Lac School District,North Fond du Lac,Fond du Lac,Wisconsin
North Lakeland School District,Manitowish Waters,Vilas,Wisconsin
North Lake School District,North Lake,Waukesha,Wisconsin
