School District,City,County,State
Maconaquah School Corporation,Bunker Hill,Miami,Indiana
Madison Consolidated Schools,Madison,Jefferson,Indiana
Madison-Grant United School Corporation,Fairmount,Grant,Indiana
Manchester Community Schools,North Manchester,Wabash,Indiana
Marion Community Schools,Marion,Grant,Indiana
Medora Community School Corporation,Medora,Jackson,Indiana
Merrillville Community School Corporation,Merrillville,Lake,Indiana
Metropolitan School District of Boone Township,Hebron,Porter,Indiana
Metropolitan School District of Decatur Township,Indianapolis,Marion,Indiana
Metropolitan School District of Lawrence Township,Indianapolis,Marion,Indiana
Metropolitan School District of Martinsville,Martinsville,Morgan,Indiana
Metropolitan School District of Mt. Vernon,Mount Vernon,Posey,Indiana
Metropolitan School District of New Durham Township,Westville,LaPorte,Indiana
Metropolitan School District of North Posey County,Poseyville,Posey,Indiana
Metropolitan School District of Perry Township,Indianapolis,Marion,Indiana
Metropolitan School District of Pike Township,Indianapolis,Marion,Indiana
Metropolitan School District of Shakamak,Jasonville,Greene,Indiana
Metropolitan School District of Steuben County,Angola,Steuben,Indiana
Metropolitan School District of Wabash County,Wabash,Wabash,Indiana
Metropolitan School District of Warren County,Williamsport,Warren,Indiana
Metropolitan School District of Warren Township,Indianapolis,Marion,Indiana
Metropolitan School District of Washington Township,Indianapolis,Marion,Indiana
Metropolitan School District of Wayne Township,Indianapolis,Marion,Indiana
Michigan City Area Schools,Michigan City,LaPorte,Indiana
Middlebury Community Schools,Middlebury,Elkhart,Indiana
Milan Community Schools,Milan,Ripley,Indiana
Mill Creek Community School Corporation,Fillmore,Putnam,Indiana
Mississinewa Community School Corporation,Gas City,Grant,Indiana
Mitchell Community Schools,Mitchell,Lawrence,Indiana
Monroe Central School Corporation,Parker City,Randolph,Indiana
Monroe County Community School Corporation,Bloomington,Monroe,Indiana
Monroe-Gregg School District,Monrovia,Morgan,Indiana
Mooresville Consolidated School Corporation,Mooresville,Morgan,Indiana
Mt. Vernon Community School Corporation,Fortville,Hancock,Indiana
Muncie Community Schools,Muncie,Delaware,Indiana
Nettle Creek School Corporation,Hagerstown,Wayne,Indiana
New Albany-Floyd County Consolidated School Corporation,New Albany,Floyd,Indiana
New Castle Community School Corporation,New Castle,Henry,Indiana
New Palestine Community Schools,New Palestine,Hancock,Indiana
New Prairie United School Corporation,New Carlisle,St. Joseph,Indiana
Nineveh-Hensley-Jackson United School Corporation,Nineveh,Johnson,Indiana
Noblesville Schools,Noblesville,Hamilton,Indiana
North Adams Community Schools,Decatur,Adams,Indiana
North Central Parke Community School District,Rockville,Parke,Indiana
North Daviess Community Schools,Montgomery,Daviess,Indiana
North Gibson School Corporation,Princeton,Gibson,Indiana
North Harrison Community School Corporation,Ramsey,Harrison,Indiana
North Judson-San Pierre School Corporation,North Judson,Starke,Indiana
North Knox School Corporation,Bicknell,Knox,Indiana
North Lawrence Community Schools,Bedford,Lawrence,Indiana
North Miami Community Schools,Denver,Miami,Indiana
North Montgomery Community School Corporation,Crawfordsville,Montgomery,Indiana
North Newton School Corporation,Morocco,Newton,Indiana
North Putnam Community Schools,Roachdale,Putnam,Indiana
North Spencer County School Corporation,Lincoln City,Spencer,Indiana
North Vermillion Community School Corporation,Cayuga,Vermillion,Indiana
North West Hendricks Schools,Lizton,Hendricks,Indiana
North White School Corporation,Monon,White,Indiana
Northeast Dubois County School Corporation,Dubois,Dubois,Indiana
Northeast School Corporation,Hartsville,Decatur,Indiana
Northeastern Wayne Schools,Fountain City,Wayne,Indiana
Northern Wells Community Schools,Ossian,Wells,Indiana
Northwest Allen County Schools,Fort Wayne,Allen,Indiana
Northwestern Consolidated School Corporation,Shelbyville,Shelby,Indiana
Northwestern School Corporation,Kokomo,Howard,Indiana
Oak Hill United School Corporation,Converse,Grant/Miami/Howard,Indiana
Oregon-Davis School Corporation,Hamlet,Starke,Indiana
Orleans Community Schools,Orleans,Orange,Indiana
Paoli Community School Corporation,Paoli,Orange,Indiana
Penn-Harris-Madison Schools,Mishawaka,St. Joseph,Indiana
Perry Central Community School Corporation,Leopold,Perry,Indiana
Peru Community Schools,Peru,Miami,Indiana
Pike County School Corporation,Petersburg,Pike,Indiana
Pioneer Regional School Corporation,Royal Center,Cass,Indiana
Plainfield Community School Corporation,Plainfield,Hendricks,Indiana
Plymouth Community School Corporation,Plymouth,Marshall,Indiana
Portage Township Schools,Portage,Porter,Indiana
Porter Township School Corporation,Valparaiso,Porter,Indiana
Prairie Heights Community School Corporation,LaGrange,LaGrange,Indiana
Randolph Central School Corporation,Winchester,Randolph,Indiana
Randolph Eastern School Corporation,Union City,Randolph,Indiana
Randolph Southern School Corporation,Lynn,Randolph,Indiana
Rensselaer Central School Corporation,Rensselaer,Jasper,Indiana
Richland-Bean Blossom Community School Corporation,Ellettsville,Monroe,Indiana
Richmond Community Schools,Richmond,Wayne,Indiana
Rising Sun-Ohio County Community Schools,Rising Sun,Ohio,Indiana
River Forest Community School Corporation,Hobart,Lake,Indiana
Rochester Community School Corporation,Rochester,Fulton,Indiana
Rossville Consolidated School District,Rossville,Clinton,Indiana
Rush County Schools,Rushville,Rush,Indiana
Salem Community Schools,Salem,Washington,Indiana
School City of East Chicago,East Chicago,Lake,Indiana
School City of Hammond,Hammond,Lake,Indiana
School City of Hobart,Hobart,Lake,Indiana
School City of Mishawaka,Mishawaka,St. Joseph,Indiana
School City of Whiting,Whiting,Lake,Indiana
School Town of Highland,Highland,Lake,Indiana
School Town of Munster,Munster,Lake,Indiana
School Town of Speedway,Speedway,Marion,Indiana
Scott County School District 1,Lexington,Scott,Indiana
Scott County School District 2,Scottsburg,Scott,Indiana
Seymour Community Schools,Seymour,Jackson,Indiana
Shelby Eastern Schools,Shelbyville,Shelby,Indiana
Shelbyville Central Schools,Shelbyville,Shelby,Indiana
Shenandoah School Corporation,Middletown,Henry,Indiana
Sheridan Community Schools,Sheridan,Hamilton,Indiana
Shoals Community School Corporation,Shoals,Martin,Indiana
Silver Creek School Corporation,Sellersburg,Clark,Indiana
Smith-Green Community Schools,Churubusco,Whitley,Indiana
South Adams Schools,Berne,Adams,Indiana
South Bend Community School Corporation,South Bend,St. Joseph,Indiana
South Central Community School Corporation,Union Mills,LaPorte,Indiana
South Dearborn Community School Corporation,Aurora,Dearborn,Indiana
South Gibson School Corporation,Fort Branch,Gibson,Indiana
South Harrison Community Schools,Elizabeth,Harrison,Indiana
South Henry School Corporation,Sulphur Springs,Henry,Indiana
