School District,City,County,State
Cardiff Elementary School District,Cardiff-by-the-Sea,San Diego,California
Carlsbad Unified School District,Carlsbad,San Diego,California
Carmel Unified School District,Carmel,Monterey,California
Carpinteria Unified School District,Carpinteria,Santa Barbara,California
Caruthers Unified School District,Caruthers,Fresno,California
Caruthers Unified School District (9-12),Caruthers,Fresno,California
Cascade Union Elementary School District,Anderson,Shasta,California
Castaic Union School District,Castaic,Los Angeles,California
Castle Rock Union Elementary School District,Castella,Shasta,California
Castro Valley Unified School District,Castro Valley,Alameda,California
Cayucos Elementary School District,Cayucos,San Luis Obispo,California
Center Joint Unified School District,Antelope,Sacramento,California
Centinela Valley Union High School District,Lawndale,Los Angeles,California
Centralia Elementary School District,Buena Park,Orange,California
Central School District,Rancho Cucamonga,San Bernardino,California
Central Unified School District,Fresno,Fresno,California
Central Union High School District,El Centro,Imperial,California
Central Union School District,Lemoore,Kings,California
Ceres Unified School District,Ceres,Stanislaus,California
Chaffey Joint Union High School District,Ontario,San Bernardino,California
Charter Oak Unified School District,Covina,Los Angeles,California
Chatom Union School District,Turlock,Stanislaus,California
Chawanakee Unified School District,North Fork,Madera,California
Chicago Park School District,Grass Valley,Nevada,California
Chico Unified School District,Chico,Butte,California
Chino Valley Unified School District,Chino,San Bernardino,California
Chowchilla School District,Chowchilla,Madera,California
Chowchilla Union High School District,Chowchilla,Madera,California
Chualar Union School District,Chualar,Monterey,California
Chula Vista Elementary School District,Chula Vista,San Diego,California
Cienega Union School District,Hollister,San Benito,California
Cinnabar School District,Petaluma,Sonoma,California
Claremont Unified School District,Claremont,Los Angeles,California
Clay Joint Elementary School District,Kingsburg,Fresno,California
Clear Creek School District,Happy Camp,Siskiyou,California
Cloverdale Unified School District,Cloverdale,Sonoma,California
Clovis Unified School District,Clovis,Fresno,California
Coachella Valley Unified School District,Thermal,Riverside,California
Coalinga-Huron Joint Unified School District,Coalinga,Fresno,California
Coast Unified School District,Cambria,San Luis Obispo,California
Coast Unified School District (9-12),Cambria,San Luis Obispo,California
Coffee Creek Elementary School District,Coffee Creek,Trinity,California
Cold Spring School District,Santa Barbara,Santa Barbara,California
Colfax Elementary School District,Colfax,Placer,California
College School District,Santa Ynez,Santa Barbara,California
Colton Joint Unified School District,Colton,San Bernardino,California
Columbia School District,Redding,Shasta,California
Columbia Union School District,Columbia,Tuolumne,California
Columbine Elementary School District,San Diego,San Diego,California
Colusa Unified School District,Colusa,Colusa,California
Compton Unified School District,Compton,Los Angeles,California
Conejo Valley Unified School District,Thousand Oaks,Ventura,California
Corcoran Joint Unified School District,Corcoran,Kings,California
Corning Union Elementary School District,Corning,Tehama,California
Corning Union High School District,Corning,Tehama,California
Coronado Unified School District,Coronado,San Diego,California
Corona-Norco Unified School District,Norco,Riverside,California
Cotati-Rohnert Park Unified School District,Rohnert Park,Sonoma,California
Cottonwood Union School District,Cottonwood,Shasta,California
Covina-Valley Unified School District,Covina,Los Angeles,California
Cucamonga School District,Rancho Cucamonga,San Bernardino,California
Cuddeback Union School District,Carlotta,Humboldt,California
Culver City Unified School District,Culver City,Los Angeles,California
Cupertino Union School District,Cupertino,Santa Clara,California
Curtis Creek School District,Sonora,Tuolumne,California
Cutler-Orosi Joint Unified School District,Orosi,Tulare,California
Cutten Elementary School District,Eureka,Humboldt,California
Cuyama Joint Unified School District,New Cuyama,Santa Barbara,California
Cypress School District,Cypress,Orange,California
Davis Joint Unified School District,Davis,Yolo,California
Death Valley Unified School District,Death Valley,Inyo,California
Dehesa School District,El Cajon,San Diego,California
Delano Joint Union High School District,Delano,Kern,California
Delano Union School District,Delano,Kern,California
Delhi Unified School District,Delhi,Merced,California
Del Mar Union School District,San Diego,San Diego,California
Del Norte County Unified School District,Crescent City,Del Norte,California
Delphic Elementary School District,Montague,Siskiyou,California
Denair Unified School District,Denair,Stanislaus,California
Desert Center Unified School District,Desert Center,Riverside,California
Desert Sands Unified School District,La Quinta,Riverside,California
Di Giorgio School District,Arvin,Kern,California
Dinuba Unified School District,Dinuba,Tulare,California
Dixon Unified School District,Dixon,Solano,California
Dos Palos-Oro Loma Joint Unified School District,Dos Palos,Merced,California
Douglas City School District,Douglas City,Trinity,California
Downey Unified School District,Downey,Los Angeles,California
Dry Creek Joint Elementary School District,Roseville,Placer,California
Duarte Unified School District,Duarte,Los Angeles,California
Dublin Unified School District,Dublin,Alameda,California
Ducor Union Elementary School District,Ducor,Tulare,California
Dunham Elementary School District,Petaluma,Sonoma,California
Dunsmuir Elementary School District,Dunsmuir,Siskiyou,California
Dunsmuir Joint Union High School District,Dunsmuir,Siskiyou,California
Durham Unified School District,Durham,Butte,California
Earlimart School District,Earlimart,Tulare,California
Eastern Sierra Unified School District,Bridgeport,Mono,California
East Nicolaus Joint Union High School District,Nicolaus,Sutter,California
East Side Union High School District,San Jose,Santa Clara,California
Eastside Union School District,Lancaster,Los Angeles,California
East Whittier City School District,Whittier,Los Angeles,California
Edison School District,Bakersfield,Kern,California
El Centro Elementary School District,El Centro,Imperial,California
El Dorado Union High School District,Placerville,El Dorado,California
Elk Grove Unified School District,Elk Grove,Sacramento,California
Elk Hills School District,Tupman,Kern,California
El Monte City School District,El Monte,Los Angeles,California
El Monte Union High School District,El Monte,Los Angeles,California
El Nido Elementary School District,El Nido,Merced,California
El Rancho Unified School District,Pico Rivera,Los Angeles,California
El Segundo Unified School District,El Segundo,Los Angeles,California
El Tejon Unified School District,Lebec,Kern,California
Elverta Joint Elementary School District,Elverta,Sacramento,California
Emery Unified School District,Emeryville,Alameda,California
Empire Union School District,Modesto,Stanislaus,California
Encinitas Union School District,Encinitas,San Diego,California
Enterprise Elementary School District,Redding,Shasta,California
Escalon Unified School District,Escalon,San Joaquin,California
Escondido Union High School District,Escondido,San Diego,California
Escondido Union School District,Escondido,San Diego,California
Esparto Unified School District,Esparto,Yolo,California
Etiwanda School District,Etiwanda,San Bernardino,California
Eureka City Unified School District,Eureka,Humboldt,California
Eureka City Unified School District (7-12),Eureka,Humboldt,California
Eureka City Unified School District (9-12),Eureka,Humboldt,California
Eureka Union School District,Granite Bay,Placer,California
Evergreen Elementary School District,San Jose,Santa Clara,California
Evergreen Union School District,Cottonwood,Tehama,California
Exeter Union School District,Exeter,Tulare,California
Fairfax Elementary School District,Bakersfield,Kern,California
Fairfield-Suisun Unified School District,Fairfield,Solano,California
Fallbrook Union Elementary School District,Fallbrook,San Diego,California
Fallbrook Union High School District,Fallbrook,San Diego,California
Fall River Joint Unified School District,Burney,Shasta,California
Farmersville Unified School District,Farmersville,Tulare,California
Ferndale Unified School District,Ferndale,Humboldt,California
Fieldbrook Elementary School District,Fieldbrook,Humboldt,California
Fillmore Unified School District,Fillmore,Ventura,California
Firebaugh-Las Deltas Joint Unified School District,Firebaugh,Fresno,California
Flournoy Union School District,Flournoy,Tehama,California
Folsom-Cordova Unified School District,Folsom,Sacramento,California
Fontana Unified School District,Fontana,San Bernardino,California
Foresthill Union School District,Foresthill,Placer,California
Forestville Union Elementary School District,Forestville,Sonoma,California
Forks of Salmon Elementary School District,Forks of Salmon,Siskiyou,California
Fort Bragg Unified School District,Fort Bragg,Mendocino,California
Fort Ross Elementary School District,Cazadero,Sonoma,California
Fort Sage Unified School District,Herlong,Lassen,California
Fortuna Union Elementary School District,Fortuna,Humboldt,California
Fortuna Union High School District,Fortuna,Humboldt,California
Fountain Valley School District,Fountain Valley,Orange,California
Fowler Unified School District,Fowler,Fresno,California
Franklin Elementary School District,Yuba City,Sutter,California
Franklin-McKinley School District,San Jose,Santa Clara,California
Fremont Unified School District,Fremont,Alameda,California
Fremont Union High School District,Sunnyvale,Santa Clara,California
French Gulch-Whiskeytown Elementary School District,French Gulch,Shasta,California
Freshwater School District,Eureka,Humboldt,California
Fresno Unified School District,Fresno,Fresno,California
Fruitvale School District,Bakersfield,Kern,California
Fullerton Joint Union High School District,Fullerton,Orange,California
Fullerton School District,Fullerton,Orange,California
Galt Joint Union Elementary School District,Galt,Sacramento,California
Galt Joint Union High School District,Galt,Sacramento,California
Garden Grove Unified School District,Garden Grove,Orange,California
Garfield School District,Tulare,Tulare,California
Garvey School District,Rosemead,Los Angeles,California
Gateway Unified School District,Redding,Shasta,California
Gazelle Union Elementary School District,Gazelle,Siskiyou,California
General Shafter School District,Bakersfield,Kern,California
Gerber Union Elementary School District,Gerber,Tehama,California
Geyserville Unified School District,Geyserville,Sonoma,California
Gilroy Unified School District,Gilroy,Santa Clara,California
Glendale Unified School District,Glendale,Los Angeles,California
Glendora Unified School District,Glendora,Los Angeles,California
Golden Feather Union Elementary School District,Oroville,Butte,California
Golden Plains Unified School District,San Joaquin,Fresno,California
Golden Valley Unified School District,Madera,Madera,California
Gold Oak Union Elementary School District,Placerville,El Dorado,California
Gold Trail Union School District,Placerville,El Dorado,California
Goleta Union School District,Goleta,Santa Barbara,California
Gonzales Unified School District,Gonzales,Monterey,California
Gorman School District,Gorman,Los Angeles,California
Grant Elementary School District,Redding,Shasta,California
Grass Valley School District,Grass Valley,Nevada,California
Gratton School District,Denair,Stanislaus,California
Gravenstein Union School District,Sebastopol,Sonoma,California
Graves Elementary School District,Buttonwillow,Kern,California
Greenfield Union School District (Kern County),Greenfield,Kern,California
Greenfield Union School District (Monterey County),Greenfield,Monterey,California
Grenada Elementary School District,Grenada,Siskiyou,California
Gridley Unified School District,Gridley,Butte,California
Gridley Unified School District (9-12),Gridley,Butte,California
Grossmont Union High School District,La Mesa,San Diego,California
Guadalupe Union School District,Guadalupe,Santa Barbara,California
Guerneville School District,Guerneville,Sonoma,California
Gustine Unified School District,Gustine,Merced,California
Hacienda La Puente Unified School District,City of Industry,Los Angeles,California
Hamilton Unified School District,Hamilton City,Glenn,California
Hamilton Unified School District (9-12),Hamilton City,Glenn,California
Hanford Elementary School District,Hanford,Kings,California
Hanford Joint Union High School District,Hanford,Kings,California
Happy Camp Union Elementary School District,Happy Camp,Siskiyou,California
Happy Valley School District,Santa Cruz,Santa Cruz,California
Happy Valley Union Elementary School District,Anderson,Shasta,California
Harmony Union School District,Occidental,Sonoma,California
Hart-Ransom Union School District,Modesto,Stanislaus,California
Hawthorne School District,Hawthorne,Los Angeles,California
Hayward Unified School District,Hayward,Alameda,California
Healdsburg Unified School District,Healdsburg,Sonoma,California
Healdsburg Unified School District (7-12),Healdsburg,Sonoma,California
Heber Elementary School District,Heber,Imperial,California
Helendale School District,Helendale,San Bernardino,California
Hemet Unified School District,Hemet,Riverside,California
Hermosa Beach City Elementary School District,Hermosa Beach,Los Angeles,California
Hesperia Unified School District,Hesperia,San Bernardino,California
Hickman Community Charter School District,Hickman,Stanislaus,California
Hillsborough City School District,Hillsborough,San Mateo,California
Hilmar Unified School District,Hilmar,Merced,California
Hollister School District,Hollister,San Benito,California
Holtville Unified School District,Holtville,Imperial,California
Hope Elementary School District,Santa Barbara,Santa Barbara,California
Hope Elementary School District,Carlsbad,San Diego,California
Horicon School District,Annapolis,Sonoma,California
Hornbrook Elementary School District,Hornbrook,Siskiyou,California
Hot Springs Elementary School District,California Hot Springs,Tulare,California
Howell Mountain Elementary School District,Angwin,Napa,California
Hueneme School District,Port Hueneme,Ventura,California
Hughes-Elizabeth Lakes Union Elementary School District,Lake Hughes,Los Angeles,California
Hughson Unified School District,Hughson,Stanislaus,California
Hughson Unified School District (9-12),Hughson,Stanislaus,California
Huntington Beach City School District,Huntington Beach,Orange,California
Huntington Beach Union High School District,Huntington Beach,Orange,California
Hydesville Elementary School District,Hydesville,Humboldt,California
"Igo, Ono, Platina Union Elementary School District",Igo,Shasta,California
Imperial Unified School District,Imperial,Imperial,California
Indian Diggings School District,Somerset,El Dorado,California
Inglewood Unified School District,Inglewood,Los Angeles,California
Irvine Unified School District,Irvine,Orange,California
Island Union Elementary School District,Lemoore,Kings,California
Jacoby Creek Elementary School District,Bayside,Humboldt,California
Jamestown Elementary School District,Jamestown,Tuolumne,California
Jamul-Dulzura Union School District,Jamul,San Diego,California
Janesville Union Elementary School District,Janesville,Lassen,California
Jefferson Elementary School District (Daly City),Daly City,San Mateo,California
Jefferson Elementary School District (Paicines),Paicines,San Benito,California
Jefferson Elementary School District (Tracy),Tracy,San Joaquin,California
Jefferson Union High School District,Daly City,San Mateo,California
Johnstonville Elementary School District,Susanville,Lassen,California
John Swett Unified School District,Crockett,Contra Costa,California
Julian Union High School District,Julian,San Diego,California
Julian Union School District,Julian,San Diego,California
Junction City Elementary School District,Junction City,Trinity,California
Junction Elementary School District,Palo Cedro,Shasta,California
Junction Elementary School District,Sutter Creek,Amador,California
Jurupa Unified School District,Jurupa Valley,Riverside,California
Kashia Elementary School District,Stewarts Point,Sonoma,California
Kelseyville Unified School District,Kelseyville,Lake,California
Kentfield School District,Kentfield,Marin,California
Kenwood School District,Kenwood,Sonoma,California
Keppel Union School District,Pearblossom,Los Angeles,California
Kerman Unified School District,Kerman,Fresno,California
Kern High School District,Bakersfield,Kern,California
Kernville Union School District,Kernville,Kern,California
Keyes Union School District,Keyes,Stanislaus,California
King City Union School District,King City,Monterey,California
Kingsburg Elementary Charter School District,Kingsburg,Fresno,California
Kingsburg Joint Union High School District,Kingsburg,Fresno,California
Kings Canyon Unified School District,Reedley,Fresno,California
Kings River Union School District,Kingsburg,Fresno,California
Kirkwood School District,Corning,Tehama,California
Kit Carson Union Elementary School District,Hanford,Kings,California
Klamath River Union Elementary School District,Horse Creek,Siskiyou,California
Klamath-Trinity Joint Unified School District,Hoopa,Humboldt,California
Kneeland School District,Kneeland,Humboldt,California
Knightsen School District,Knightsen,Contra Costa,California
Knights Ferry Elementary School District,Knights Ferry,Stanislaus,California
Konocti Unified School District,Lower Lake,Lake,California
La Cañada Unified School District,La Cañada Flintridge,Los Angeles,California
Lafayette School District,Lafayette,Contra Costa,California
Laguna Beach Unified School District,Laguna Beach,Orange,California
Laguna Joint School District,Galt,Sacramento,California
Lagunita Elementary School District,Salinas,Monterey,California
Lagunitas School District,San Geronimo,Marin,California
La Habra City School District,La Habra,Orange,California
La Honda-Pescadero Unified School District,Pescadero,San Mateo,California
Lake Elementary School District,Orland,Glenn,California
Lake Elsinore Unified School District,Lake Elsinore,Riverside,California
Lakeport Unified School District,Lakeport,Lake,California
Lakeside Joint School District,Los Gatos,Santa Clara,California
Lakeside Union Elementary School District (Kings County),Hanford,Kings,California
Lakeside Union Elementary School District (San Diego County),Lakeside,San Diego,California
Lakeside Union School District,Bakersfield,Kern,California
Lake Tahoe Unified School District,South Lake Tahoe,El Dorado,California
La Mesa-Spring Valley School District,La Mesa,San Diego,California
Lammersville Unified School District,Mountain House,San Joaquin,California
Lamont Elementary School District,Lamont,Kern,California
Lancaster School District,Lancaster,Los Angeles,California
Larkspur-Corte Madera School District,Larkspur,Marin,California
Las Lomitas Elementary School District,Atherton,San Mateo,California
Lassen Union High School District,Susanville,Lassen,California
Lassen View Union Elementary School District,Red Bluff,Tehama,California
Las Virgenes Unified School District,Calabasas,Los Angeles,California
Laton Unified School District,Laton,Fresno,California
Latrobe School District,Shingle Springs,El Dorado,California
Lawndale Elementary School District,Lawndale,Los Angeles,California
Laytonville Unified School District,Laytonville,Mendocino,California
Leggett Valley Unified School District,Leggett,Mendocino,California
Le Grand Union Elementary School District,Le Grand,Merced,California
Le Grand Union High School District,Le Grand,Merced,California
Lemon Grove School District,Lemon Grove,San Diego,California
Lemoore Union Elementary School District,Lemoore,Kings,California
Lemoore Union High School District,Lemoore,Kings,California
Lennox School District,Lennox,Los Angeles,California
Lewiston Elementary School District,Lewiston,Trinity,California
Liberty Elementary School District (Petaluma),Petaluma,Sonoma,California
Liberty Elementary School District (Tulare),Tulare,Tulare,California
Liberty Union High School District,Brentwood,Contra Costa,California
Lincoln School District,Stockton,San Joaquin,California
Lincoln Unified School District,Stockton,San Joaquin,California
Linden Unified School District,Linden,San Joaquin,California
Lindsay Unified School District,Lindsay,Tulare,California
Linns Valley-Poso Flat Union School District,Glennville,Kern,California
Little Lake City School District,Santa Fe Springs,Los Angeles,California
Little Shasta Elementary School District,Montague,Siskiyou,California
Live Oak School District,Santa Cruz,Santa Cruz,California
Live Oak Unified School District,Live Oak,Sutter,California
Livermore Valley Joint Unified School District,Livermore,Alameda,California
Livingston Union School District,Livingston,Merced,California
Lodi Unified School District,Lodi,San Joaquin,California
Loleta Union School District,Loleta,Humboldt,California
Loma Prieta Joint Union Elementary School District,Los Gatos,Santa Clara,California
Lompoc Unified School District,Lompoc,Santa Barbara,California
Lone Pine Unified School District,Lone Pine,Inyo,California
Long Beach Unified School District,Long Beach,Los Angeles,California
Loomis Union School District,Loomis,Placer,California
Los Alamitos Unified School District,Los Alamitos,Orange,California
Los Altos School District,Los Altos,Santa Clara,California
Los Angeles Unified School District,Los Angeles,Los Angeles,California
Los Banos Unified School District,Los Banos,Merced,California
Los Gatos-Saratoga Union High School District,Los Gatos,Santa Clara,California
Los Gatos Union School District,Los Gatos,Santa Clara,California
Los Molinos Unified School District,Los Molinos,Tehama,California
Los Nietos School District,Whittier,Los Angeles,California
Los Olivos School District,Los Olivos,Santa Barbara,California
Lost Hills Union Elementary School District,Lost Hills,Kern,California
Lowell Joint School District,Whittier,Los Angeles,California
Lucerne Elementary School District,Lucerne,Lake,California
Lucerne Valley Unified School District,Lucerne Valley,San Bernardino,California
Lucia Mar Unified School District,Arroyo Grande,San Luis Obispo,California
Luther Burbank School District,San Jose,Santa Clara,California
Lynwood Unified School District,Lynwood,Los Angeles,California
Madera Unified School District,Madera,Madera,California
Magnolia School District,Anaheim,Orange,California
Magnolia Union Elementary School District,Brawley,Imperial,California
Mammoth Unified School District,Mammoth Lakes,Mono,California
Manchester Union Elementary School District,Manchester,Mendocino,California
Manhattan Beach Unified School District,Manhattan Beach,Los Angeles,California
Manteca Unified School District,Manteca,San Joaquin,California
Manzanita Elementary School District,Gridley,Butte,California
Maple Creek Elementary School District,Maple Creek,Humboldt,California
Maple Elementary School District,Shafter,Kern,California
Marcum-Illinois Union Elementary School District,East Nicolaus,Sutter,California
Maricopa Unified School District,Maricopa,Kern,California
Mariposa County Unified School District,Mariposa,Mariposa,California
Mark Twain Union Elementary School District,Angels Camp,Calaveras,California
Mark West Union School District,Santa Rosa,Sonoma,California
Martinez Unified School District,Martinez,Contra Costa,California
Marysville Joint Unified School District,Marysville,Yuba,California
Mattole Unified School District,Petrolia,Humboldt,California
Maxwell Unified School District,Maxwell,Colusa,California
McCabe Union School District,El Centro,Imperial,California
McCloud Union Elementary School District,McCloud,Siskiyou,California
McFarland Unified School District,McFarland,Kern,California
McKinleyville Union School District,McKinleyville,Humboldt,California
McKittrick School District,McKittrick,Kern,California
McSwain Union Elementary School District,Merced,Merced,California
Meadows Union Elementary School District,El Centro,Imperial,California
Mendocino Unified School District,Mendocino,Mendocino,California
Mendota Unified School District,Mendota,Fresno,California
Menifee Union School District,Menifee,Riverside,California
Menlo Park City Elementary School District,Menlo Park,San Mateo,California
Merced City School District,Merced,Merced,California
Merced River School District,Winton,Merced,California
Merced Union High School District,Merced,Merced,California
Meridian Elementary School District,Meridian,Sutter,California
Mesa Union School District,Somis,Ventura,California
Middletown Unified School District,Middletown,Lake,California
Midway School District,Lamont,Kern,California
Millbrae School District,Millbrae,San Mateo,California
Miller Creek School District,San Rafael,Marin,California
Mill Valley School District,Mill Valley,Marin,California
Millville Elementary School District,Millville,Shasta,California
Milpitas Unified School District,Milpitas,Santa Clara,California
Mission Union Elementary School District,Soledad,Monterey,California
Modesto City Elementary School District,Modesto,Stanislaus,California
