School District,City,County,State
Glidden-Ralston Community School District,Glidden,Carroll,Iowa
GMG Community School District,Green Mountain,Marshall,Iowa
Graettinger-Terril Community School District,Graettinger,Palo Alto,Iowa
Greene County Community School District,Jefferson,Greene,Iowa
Grinnell-Newburg Community School District,Grinnell,Poweshiek,Iowa
Griswold Community School District,Griswold,Cass,Iowa
Grundy Center Community School District,Grundy Center,Grundy,Iowa
Guthrie Center Community School District,Guthrie Center,Guthrie,Iowa
Hamburg Community School District,Hamburg,Fremont,Iowa
Hampton-Dumont Community School District,Hampton,Franklin,Iowa
Harlan Community School District,Harlan,Shelby,Iowa
Harris-Lake Park Community School District,Lake Park,Dickinson,Iowa
Hartley-Melvin-Sanborn Community School District,Hartley,O'Brien,Iowa
Highland Community School District,Riverside,Washington,Iowa
Hinton Community School District,Hinton,Plymouth,Iowa
H-L-V Community School District,Victor,Iowa,Iowa
Howard-Winneshiek Community School District,Cresco,Howard,Iowa
Hubbard-Radcliffe Community School District,Hubbard,Hardin,Iowa
Hudson Community School District,Hudson,Black Hawk,Iowa
Humboldt Community School District,Humboldt,Humboldt,Iowa
IKM-Manning Community School District,Manning,Carroll,Iowa
Independence Community School District,Independence,Buchanan,Iowa
Indianola Community School District,Indianola,Warren,Iowa
Interstate 35 Community School District,Truro,Madison,Iowa
Iowa City Community School District,Iowa City,Johnson,Iowa
Iowa Falls Community School District,Iowa Falls,Hardin,Iowa
Iowa Valley Community School District,Marengo,Iowa,Iowa
Janesville Consolidated School District,Janesville,Bremer,Iowa
Jesup Community School District,Jesup,Buchanan,Iowa
Johnston Community School District,Johnston,Polk,Iowa
Keokuk Community School District,Keokuk,Lee,Iowa
Keota Community School District,Keota,Keokuk,Iowa
Kingsley-Pierson Community School District,Kingsley,Plymouth,Iowa
Knoxville Community School District,Knoxville,Marion,Iowa
Lake Mills Community School District,Lake Mills,Winnebago,Iowa
Lamoni Community School District,Lamoni,Decatur,Iowa
Laurens-Marathon Community School District,Laurens,Pocahontas,Iowa
Lawton-Bronson Community School District,Lawton,Woodbury,Iowa
Le Mars Community School District,Le Mars,Plymouth,Iowa
Lenox Community School District,Lenox,Taylor,Iowa
Lewis Central Community School District,Council Bluffs,Pottawattamie,Iowa
