School District,City,County,State
New Berlin Community Unit School District,New Berlin,Sangamon,Illinois
New Holland-Middletown Elementary School District,New Holland,Logan,Illinois
New Hope Community Consolidated School District,rural Gallatin County,Gallatin,Illinois
New Lenox School District,New Lenox,Will,Illinois
New Simpson Hill School District,rural Pope County,Pope,Illinois
New Trier Township High School District,Winnetka,Cook,Illinois
Niles Elementary School District,Niles,Cook,Illinois
Niles Township Community High School District,Skokie,Cook,Illinois
Nippersink School District,Richmond,McHenry,Illinois
Nokomis Community Unit School District,Nokomis,Montgomery,Illinois
Norridge School District,Norridge,Cook,Illinois
Norris City-Omaha-Enfield Community Unit School District,Norris City,White,Illinois
North Boone Community Unit School District,Poplar Grove,Boone,Illinois
Northbrook Elementary School District,Northbrook,Cook,Illinois
Northbrook/Glenview School District,Northbrook,Cook,Illinois
Northbrook School District,Northbrook,Cook,Illinois
North Chicago School District,North Chicago,Lake,Illinois
North Clay Community Unit School District,Louisville,Clay,Illinois
North Greene Community Unit School District,White Hall,Greene,Illinois
North Mac Community Unit School District,Virden,Macoupin,Illinois
North Palos School District,Palos Hills,Cook,Illinois
North Pekin-Marquette Heights School District,North Pekin,Tazewell,Illinois
North Shore School District,Highland Park,Lake,Illinois
North Wamac School District,Centralia,Marion,Illinois
North Wayne Community Unit School District,Cisne,Wayne,Illinois
Northwestern Community Unit School District,Palmyra,Macoupin,Illinois
Norwood Elementary School District,Peoria,Peoria,Illinois
Oakdale Community Consolidated School District,Oakdale,Washington,Illinois
Oak Grove School District,rural Jersey County,Jersey,Illinois
Oak Grove School District,Zion,Lake,Illinois
Oakland Community Unit School District,Oakland,Coles,Illinois
Oak Lawn Community High School District,Oak Lawn,Cook,Illinois
Oak Lawn-Hometown School District,Oak Lawn,Cook,Illinois
Oak Park and River Forest School District,Oak Park,Cook,Illinois
Oak Park Elementary School District,Oak Park,Cook,Illinois
Oakwood Community Unit School District,Fithian,Vermilion,Illinois
Oblong Community Unit School District,Oblong,Crawford,Illinois
Odell Community Consolidated School District,Odell,Livingston,Illinois
Odin Public School District,Odin,Marion,Illinois
O'Fallon Community Consolidated School District,O'Fallon,St. Clair,Illinois
O'Fallon Township High School District,O'Fallon,St. Clair,Illinois
Oglesby Elementary School District,Oglesby,LaSalle,Illinois
Ohio Community Consolidated School District,Ohio,Bureau,Illinois
Ohio Community High School District,Ohio,Bureau,Illinois
Okaw Valley Community Unit School District,Bethany,Moultrie,Illinois
Olympia Community Unit School District,Stanford,McLean,Illinois
Opdyke-Belle Rive Community Consolidated School District,Belle Rive,Jefferson,Illinois
Orangeville Community Unit School District,Orangeville,Stephenson,Illinois
Oregon Community Unit School District,Oregon,Ogle,Illinois
Orion Community Unit School District,Orion,Henry,Illinois
Orland School District,Orland Park,Cook,Illinois
Oswego Community Unit School District,Oswego,Kendall,Illinois
Ottawa Elementary School District,Ottawa,LaSalle,Illinois
Ottawa Township High School District,Ottawa,LaSalle,Illinois
Palestine Community Unit School District,Palestine,Crawford,Illinois
Palos Community Consolidated School District,Palos Park,Cook,Illinois
Palos Heights School District,Palos Heights,Cook,Illinois
Pana Community Unit School District,Pana,Christian,Illinois
Panhandle Community Unit School District,Raymond,Montgomery,Illinois
Paris Community Unit School District,Paris,Edgar,Illinois
Paris Union School District,Paris,Edgar,Illinois
Park Forest School District,Park Forest,Cook,Illinois
Park Ridge Community Consolidated School District,Park Ridge,Cook,Illinois
Patoka Community Unit School District,Patoka,Marion,Illinois
Pawnee Community Unit School District,Pawnee,Sangamon,Illinois
Paw Paw Community Unit School District,Paw Paw,Lee,Illinois
Paxton-Buckley-Loda Community Unit School District,Paxton,Ford,Illinois
Payson Community Unit School District,Payson,Adams,Illinois
Pearl City Community Unit School District,Pearl City,Stephenson,Illinois
Pecatonica Community Unit School District,Pecatonica,Winnebago,Illinois
Pekin Community High School District,Pekin,Tazewell,Illinois
Pekin Public School District,Pekin,Tazewell,Illinois
Pembroke Community Consolidated School District,Hopkins Park,Kankakee,Illinois
Pennoyer School District,Norridge,Cook,Illinois
Peoria Heights Community Unit School District,Peoria Heights,Peoria,Illinois
Peoria Public Schools District,Peoria,Peoria,Illinois
Peotone Community Unit School District,Peotone,Will,Illinois
Peru Elementary School District,Peru,LaSalle,Illinois
Pikeland Community Unit School District,Pittsfield,Pike,Illinois
Pinckneyville Community High School District,Pinckneyville,Perry,Illinois
Pinckneyville School District,Pinckneyville,Perry,Illinois
Plainfield Community Consolidated School District,Plainfield,Will,Illinois
Plano Community Unit School District,Plano,Kendall,Illinois
Pleasantdale School District,Burr Ridge,DuPage,Illinois
Pleasant Hill Community Unit School District,Pleasant Hill,Pike,Illinois
Pleasant Hill School District,Peoria,Peoria,Illinois
Pleasant Plains Community Unit School District,Pleasant Plains,Sangamon,Illinois
Pleasant Valley School District,Peoria,Peoria,Illinois
Polo Community Unit School District,Polo,Ogle,Illinois
Pontiac Community Consolidated School District,Pontiac,Livingston,Illinois
Pontiac Township High School District,Pontiac,Livingston,Illinois
Pontiac-William Holliday School District,Pontiac,Livingston,Illinois
Pope County Community Unit School District,Golconda,Pope,Illinois
Porta Community Unit School District,Petersburg,Menard,Illinois
Posen-Robbins Elementary School District,Posen,Cook,Illinois
Potomac Community Unit School District,Potomac,Vermilion,Illinois
Prairie Central Community Unit School District,Fairbury,Livingston,Illinois
Prairie du Rocher Community Consolidated School District,Prairie du Rocher,Randolph,Illinois
Prairie Grove Community School District,Crystal Lake,McHenry,Illinois
Prairie Hill Community Consolidated School District,South Beloit,Winnebago,Illinois
Prairie-Hills Elementary School District,Markham,Cook,Illinois
Prairieview-Ogden Community Consolidated School District,Ogden,Champaign,Illinois
Princeton Elementary School District,Princeton,Bureau,Illinois
Princeton High School District,Princeton,Bureau,Illinois
Princeville Community Unit School District,Princeville,Peoria,Illinois
Prophetstown-Lyndon-Tampico Community Unit School District,Prophetstown,Whiteside,Illinois
Prospect Heights School District,Prospect Heights,Cook,Illinois
Proviso Township High School District,Maywood,Cook,Illinois
Putnam County Community Unit School District,Granville,Putnam,Illinois
Queen Bee School District,Glendale Heights,DuPage,Illinois
Quincy School District,Quincy,Adams,Illinois
Raccoon Consolidated School District,rural Gallatin County,Gallatin,Illinois
Ramsey Community Unit School District,Ramsey,Fayette,Illinois
Rankin Community School District,Rankin,Vermilion,Illinois
Rantoul City School District,Rantoul,Champaign,Illinois
Rantoul Township High School District,Rantoul,Champaign,Illinois
Reavis Township High School District,Burbank,Cook,Illinois
Red Bud Community Unit School District,Red Bud,Randolph,Illinois
Red Hill Community Unit School District,Bridgeport,Lawrence,Illinois
Reed Custer Community Unit School District,Braidwood,Will,Illinois
Rhodes School District,River Grove,Cook,Illinois
Richland County Community Unit School District,Olney,Richland,Illinois
Richland School District,rural Macon County,Macon,Illinois
Richmond-Burton Community High School District,Richmond,McHenry,Illinois
Rich Township High School District,Park Forest,Cook,Illinois
Ridgeland School District,Bridgeview,Cook,Illinois
Ridgeview Community Unit School District,Colfax,McLean,Illinois
Ridgewood Community High School District,Norridge,Cook,Illinois
Riley Community Consolidated School District,Marengo,McHenry,Illinois
River Bend Community Unit District,Port Byron,Rock Island,Illinois
Riverdale Community Unit School District,Port Byron,Rock Island,Illinois
River Forest School District,River Forest,Cook,Illinois
River Grove School District,River Grove,Cook,Illinois
River Ridge Community Unit School District,Hanover,Jo Daviess,Illinois
Riverside Brookfield Township School District,Riverside,Cook,Illinois
Riverside School District,Riverside,Cook,Illinois
Riverton Community Unit School District,Riverton,Sangamon,Illinois
River Trails School District,Mount Prospect,Cook,Illinois
Riverview Community Consolidated School District,rural Henderson County,Henderson,Illinois
Roanoke-Benson Community Unit School District,Roanoke,Woodford,Illinois
Robein School District,rural Tazewell County,Tazewell,Illinois
Robinson Community Unit School District,Robinson,Crawford,Illinois
Rochelle Community Consolidated District,Rochelle,Ogle,Illinois
Rochelle Township High School District,Rochelle,Ogle,Illinois
Rochester Community Unit School District,Rochester,Sangamon,Illinois
Rockdale School District,Rockdale,Will,Illinois
Rock Falls Elementary School District,Rock Falls,Whiteside,Illinois
Rock Falls Township High School District,Rock Falls,Whiteside,Illinois
Rockford Public Schools,Rockford,Winnebago,Illinois
Rock Island School District,Rock Island,Rock Island,Illinois
Rockridge Community Unit School District,Taylor Ridge,Rock Island,Illinois
Rockton School District,Rockton,Winnebago,Illinois
Rome Community Consolidated School District,rural Jefferson County,Jefferson,Illinois
Rondout School District,Lake Forest,Lake,Illinois
Rooks Creek Community Consolidated School District,rural Livingston County,Livingston,Illinois
Roselle School District,Roselle,DuPage,Illinois
Rosemont Elementary School District,Rosemont,Cook,Illinois
Rossville-Alvin Community Unit School District,Rossville,Vermilion,Illinois
Round Lake Area Schools Community Unit District,Round Lake,Lake,Illinois
ROWVA Community Unit School District,Oneida,Knox,Illinois
Roxana Community Unit School District,Roxana,Madison,Illinois
Rutland Community Consolidated School District,rural LaSalle County,LaSalle,Illinois
Salem Community High School District,Salem,Marion,Illinois
Salem School District,Salem,Marion,Illinois
Salt Creek School District,Elk Grove Village,Cook,Illinois
Salt Fork Community Unit School District,Homer,Champaign,Illinois
Sandoval Community Unit School District,Sandoval,Marion,Illinois
Sandridge School District,rural Will County,Will,Illinois
Sandwich Community Unit School District,Sandwich,DeKalb,Illinois
Sangamon Valley Community Unit School District,Niantic,Macon,Illinois
Saratoga Community Consolidated School District,Morris,Grundy,Illinois
Saunemin Community Consolidated School District,Saunemin,Livingston,Illinois
Scales Mound Community Unit School District,Scales Mound,Jo Daviess,Illinois
Schaumburg Community Consolidated School District,Schaumburg,Cook,Illinois
Schiller Park School District,Schiller Park,Cook,Illinois
School District U-46,Elgin,Kane,Illinois
Schuyler-Industry Community Unit School District,Rushville,Schuyler,Illinois
Scott-Morgan Community Unit School District,Jacksonville,Morgan,Illinois
Selmaville Community Consolidated School District,rural Marion County,Marion,Illinois
Seneca Community Consolidated School District,Seneca,LaSalle,Illinois
Seneca Township High School District,Seneca,LaSalle,Illinois
Serena Community Unit School District,Serena,LaSalle,Illinois
Sesser-Valier Community Unit School District,Sesser,Franklin,Illinois
Shawnee Community Unit School District,Wolf Lake,Union,Illinois
Shelbyville Community Unit School District,Shelbyville,Shelby,Illinois
Sherrard Community Unit School District,Sherrard,Mercer,Illinois
Shiloh Community Unit School District,Hume,Edgar,Illinois
Shiloh Village School District,Shiloh,St. Clair,Illinois
Shirland Community Consolidated School District,Shirland,Winnebago,Illinois
Signal Hill School District,Belleville,St. Clair,Illinois
Silvis School District,Silvis,Rock Island,Illinois
Skokie School District,Winnetka,Cook,Illinois
Skokie School District,Skokie,Cook,Illinois
Skokie School District,Skokie,Cook,Illinois
Smithton Community Consolidated School District,Smithton,St. Clair,Illinois
Somonauk Community Unit School District,Somonauk,DeKalb,Illinois
South Beloit Community Unit School District,South Beloit,Winnebago,Illinois
South Central Community Unit School District,Kinmundy,Marion,Illinois
Southeastern Community Unit School District,Augusta,Hancock,Illinois
South Fork School District,Kincaid,Christian,Illinois
South Holland School District,South Holland,Cook,Illinois
South Pekin School District,South Pekin,Tazewell,Illinois
Southwestern Community Unit School District,Piasa,Macoupin,Illinois
South Wilmington Consolidated School District,South Wilmington,Grundy,Illinois
Sparta Community Unit School District,Sparta,Randolph,Illinois
Spoon River Valley Community Unit School District,London Mills,Fulton,Illinois
Springfield School District,Springfield,Sangamon,Illinois
Spring Garden Community Consolidated School District,rural Will County,Will,Illinois
Spring Lake Community Consolidated School District,rural Tazewell County,Tazewell,Illinois
Spring Valley Community Consolidated School District,Spring Valley,Bureau,Illinois
St. Anne Unit District,St. Anne,Kankakee,Illinois
Stark County Community Unit School District,Toulon,Stark,Illinois
Staunton Community Unit School District,Staunton,Macoupin,Illinois
St. Charles Community Unit School District,St. Charles,Kane,Illinois
Steeleville Community Unit School District,Steeleville,Randolph,Illinois
Steger School District,Steger,Will,Illinois
St. Elmo Community Unit School District,St. Elmo,Fayette,Illinois
Sterling Community Unit District,Sterling,Whiteside,Illinois
Steward Elementary School District,Steward,Lee,Illinois
Stewardson-Strasburg Community Unit District,Stewardson,Shelby,Illinois
St. George Community Consolidated School District,Bourbonnais,Kankakee,Illinois
St. Joseph Community Consolidated School District,St. Joseph,Champaign,Illinois
St. Joseph-Ogden Community High School District,St. Joseph,Champaign,Illinois
St. Libory Consolidated School District,St. Libory,St. Clair,Illinois
Stockton Community Unit School District,Stockton,Jo Daviess,Illinois
Streator Elementary School District,Streator,LaSalle,Illinois
Streator Township High School District,Streator,LaSalle,Illinois
St. Rose School District,St. Rose,Clinton,Illinois
Sullivan Community Unit School District,Sullivan,Moultrie,Illinois
Summersville School District,Mount Vernon,Jefferson,Illinois
Summit Hill School District,Frankfort,Will,Illinois
Summit School District,Summit,Cook,Illinois
Sunnybrook School District,Steger,Will,Illinois
Sunset Ridge School District,Northfield,Cook,Illinois
Sycamore Community Unit School District,Sycamore,DeKalb,Illinois
Taft School District,rural LaSalle County,LaSalle,Illinois
Tamaroa School District,Tamaroa,Perry,Illinois
Taylorville Community Unit School District,Taylorville,Christian,Illinois
Teutopolis Community Unit School District,Teutopolis,Effingham,Illinois
Thomasboro Community Consolidated School District,Thomasboro,Champaign,Illinois
Thompsonville Community Unit School District,Thompsonville,Franklin,Illinois
Thornton Fractional Township High School District,Calumet City,Cook,Illinois
Thornton School District,Harvey,Cook,Illinois
Thornton Township High School District,Harvey,Cook,Illinois
Tolono Community Unit School District,Tolono,Champaign,Illinois
Tonica Community Consolidated School District,Tonica,LaSalle,Illinois
Township High School District,Highland Park,Lake,Illinois
Township High School District,Palatine,Cook,Illinois
Township High School District,Arlington Heights,Cook,Illinois
Tremont Community Unit School District,Tremont,Tazewell,Illinois
Triad Community Unit School District,Troy,Madison,Illinois
Tri-City Community Unit School District,Buffalo,Sangamon,Illinois
Trico Community Unit School District,Campbell Hill,Jackson,Illinois
Triopia Community Unit School District,Concord,Morgan,Illinois
Tri-Point Community Unit School District,Cullom,Livingston,Illinois
Tri-Valley Community Unit School District,Downs,McLean,Illinois
Troy Community Consolidated School District,Plainfield,Will,Illinois
Tuscola Community Unit School District,Tuscola,Douglas,Illinois
Union Ridge School District,Harwood Heights,Cook,Illinois
Union School District,rural LaSalle County,LaSalle,Illinois
United Community Unit School District,Monmouth,Warren,Illinois
United Township High School District,East Moline,Rock Island,Illinois
Unity Point Community Consolidated School District,Carbondale,Jackson,Illinois
Urbana School District,Urbana,Champaign,Illinois
Valley View School District,Romeoville,Will,Illinois
Valmeyer Community Unit School District,Valmeyer,Monroe,Illinois
Vandalia Community Unit School District,Vandalia,Fayette,Illinois
Venice Community Unit School District,Venice,Madison,Illinois
Vienna High School District,Vienna,Johnson,Illinois
Vienna School District,Vienna,Johnson,Illinois
Villa Grove Community Unit School District,Villa Grove,Douglas,Illinois
Virginia Community Unit School District,Virginia,Cass,Illinois
V.I.T. Community Unit School District,Vermont,Fulton,Illinois
Wabash Community Unit School District,Mount Carmel,Wabash,Illinois
Wallace Community Consolidated School District,Wallace,LaSalle,Illinois
Waltham Community Consolidated School District,Utica,LaSalle,Illinois
Waltonville Community Unit School District,Waltonville,Jefferson,Illinois
Warren Community Unit School District,Warren,Jo Daviess,Illinois
Warrensburg-Latham Community Unit District,Warrensburg,Macon,Illinois
Warren Township High School District,Gurnee,Lake,Illinois
Warsaw Community Unit School District,Warsaw,Hancock,Illinois
Washington Community High School District,Washington,Tazewell,Illinois
Washington District 50 Schools,Washington,Tazewell,Illinois
Washington School District,Peoria,Peoria,Illinois
Waterloo Community Unit School District,Waterloo,Monroe,Illinois
Wauconda Community Unit School District,Wauconda,Lake,Illinois
Waukegan Public School District,Waukegan,Lake,Illinois
Waverly Community Unit School District,Waverly,Morgan,Illinois
Wayne City Community Unit School District,Wayne City,Wayne,Illinois
Wesclin Community Unit School District,Trenton,Clinton,Illinois
West Aurora Public School District,Aurora,Kane,Illinois
West Carroll Community Unit School District,Savanna,Carroll,Illinois
West Central Community Unit School District,Biggsville,Henderson,Illinois
Westchester School District,Westchester,Cook,Illinois
West Chicago Elementary School District,West Chicago,DuPage,Illinois
Western Community Unit School District,Barry,Pike,Illinois
Western Springs School District,Western Springs,Cook,Illinois
West Harvey-Dixmoor Public School District,Harvey,Cook,Illinois
West Lincoln-Broadwell Elementary School District,Lincoln,Logan,Illinois
West Northfield School District,Northbrook,Cook,Illinois
West Prairie Community Unit School District,Colchester,McDonough,Illinois
Westville Community Unit School District,Westville,Vermilion,Illinois
West Washington County Community Unit District,rural Washington County,Washington,Illinois
Wethersfield Community Unit School District,Kewanee,Henry,Illinois
Wheeling Community Consolidated School District,Wheeling,Cook,Illinois
Whiteside School District,Belleville,St. Clair,Illinois
Will County School District,rural Will County,Will,Illinois
Williamsfield Community Unit School District,Williamsfield,Knox,Illinois
Williamsville Community Unit School District,Williamsville,Sangamon,Illinois
Willow Grove School District,rural Lake County,Lake,Illinois
Willow Springs School District,Willow Springs,Cook,Illinois
Wilmette School District,Wilmette,Cook,Illinois
Wilmington Community Unit School District,Wilmington,Will,Illinois
Winchester Community Unit School District,Winchester,Scott,Illinois
Windsor Community Unit School District,Windsor,Shelby,Illinois
Winfield School District,Winfield,DuPage,Illinois
Winnebago Community Unit School District,Winnebago,Winnebago,Illinois
Winnetka School District,Winnetka,Cook,Illinois
Winthrop Harbor School District,Winthrop Harbor,Lake,Illinois
Wolf Branch School District,Swansea,St. Clair,Illinois
Wood Dale School District,Wood Dale,DuPage,Illinois
Woodland Community Consolidated School District,Gurnee,Lake,Illinois
Woodland Community Unit School District,Streator,LaSalle,Illinois
Woodlawn Unit School District,Woodlawn,Jefferson,Illinois
Woodridge School District,Woodridge,DuPage,Illinois
Wood River-Hartford Elementary School District,Wood River,Madison,Illinois
Woodstock Community Unit School District,Woodstock,McHenry,Illinois
Worth School District,Worth,Cook,Illinois
Yorkville Community Unit School District,Yorkville,Kendall,Illinois
Zeigler-Royalton Community Unit School District,Zeigler,Franklin,Illinois
Zion-Benton Township High School District,Zion,Lake,Illinois
Zion Elementary School District,Zion,Lake,Illinois
