School District,City,County,State
Cold Spring Harbor Central School District,Cold Spring Harbor,Suffolk,New York
Colton-Pierrepont Central School District,Colton,St. Lawrence,New York
Commack School District,Commack,Suffolk,New York
Comsewogue School District,Port Jefferson Station,Suffolk,New York
Connetquot Central School District,Bohemia,Suffolk,New York
Cooperstown Central School District,Cooperstown,Otsego,New York
Copenhagen Central School District,Copenhagen,Lewis,New York
Copiague Union Free School District,Copiague,Suffolk,New York
Corinth Central School District,Corinth,Saratoga,New York
Corning-Painted Post Area School District,Corning,Steuben,New York
Cornwall Central School District,Cornwall,Orange,New York
Cortland City School District,Cortland,Cortland,New York
Coxsackie-Athens Central School District,Coxsackie,Greene,New York
Croton-Harmon Union Free School District,Croton-on-Hudson,Westchester,New York
Crown Point Central School District,Crown Point,Essex,New York
Cuba-Rushford Central School District,Cuba,Allegany,New York
Dansville Central School District,Dansville,Livingston,New York
Deer Park Union Free School District,Deer Park,Suffolk,New York
Delaware Academy Central School District at Delhi,Delhi,Delaware,New York
Depew Union Free School District,Depew,Erie,New York
Deposit Central School District,Deposit,Delaware,New York
DeRuyter Central School District,DeRuyter,Madison,New York
Dobbs Ferry Union Free School District,Dobbs Ferry,Westchester,New York
Dolgeville Central School District,Dolgeville,Herkimer,New York
Dover Union Free School District,Dover Plains,Dutchess,New York
Downsville Central School District,Downsville,Delaware,New York
Dryden Central School District,Dryden,Tompkins,New York
Duanesburg Central School District,Delanson,Schenectady,New York
Dundee Central School District,Dundee,Yates,New York
Dunkirk City School District,Dunkirk,Chautauqua,New York
East Aurora Union Free School District,East Aurora,Erie,New York
Eastchester Union Free School District,Eastchester,Westchester,New York
East Greenbush Central School District,East Greenbush,Rensselaer,New York
East Hampton Union Free School District,East Hampton,Suffolk,New York
East Irondequoit Central School District,Irondequoit,Monroe,New York
East Islip Union Free School District,Islip Terrace,Suffolk,New York
East Meadow Union Free School District,East Meadow,Nassau,New York
East Moriches Union Free School District,East Moriches,Suffolk,New York
Eastport-South Manor Central School District,Manorville,Suffolk,New York
East Quogue Union Free School District,East Quogue,Suffolk,New York
East Ramapo Central School District,Spring Valley,Rockland,New York
East Rochester Union Free School District,East Rochester,Monroe,New York
East Rockaway Union Free School District,East Rockaway,Nassau,New York
East Syracuse-Minoa Central School District,East Syracuse,Onondaga,New York
East Williston Union Free School District,East Williston,Nassau,New York
Eden Central School District,Eden,Erie,New York
Edgemont School District,Scarsdale,Westchester,New York
Edinburg Common School District,Northville,Saratoga,New York
Edmeston Central School District,Edmeston,Otsego,New York
Edwards-Knox Central School District,Edwards,St. Lawrence,New York
Elba Central School District,Elba,Genesee,New York
Eldred Central School District,Eldred,Sullivan,New York
Ellenville Central School District,Ellenville,Ulster,New York
Ellicottville Central School District,Ellicottville,Cattaraugus,New York
Elmira City School District,Elmira,Chemung,New York
Elmira Heights Central School District,Elmira Heights,Chemung,New York
Elmont Union Free School District,Elmont,Nassau,New York
Elmsford Union Free School District,Elmsford,Westchester,New York
