School District,City,County,State
Middlesboro Independent Schools,Middlesboro,Bell,Kentucky
Monroe County School District,Tompkinsville,Monroe,Kentucky
Montgomery County Schools,Mount Sterling,Montgomery,Kentucky
Morgan County Schools,West Liberty,Morgan,Kentucky
Muhlenberg County Public Schools,Powderly,Muhlenberg,Kentucky
Murray Independent Schools,Murray,Calloway,Kentucky
Nelson County Schools,Bardstown,Nelson,Kentucky
Newport Independent Schools,Newport,Campbell,Kentucky
Nicholas County Schools,Carlisle,Nicholas,Kentucky
Ohio County Schools,Hartford,Ohio,Kentucky
Oldham County Schools,Crestwood,Oldham,Kentucky
Owen County Schools,Owenton,Owen,Kentucky
Owensboro Public Schools,Owensboro,Daviess,Kentucky
Owsley County School District,Booneville,Owsley,Kentucky
Paducah Public Schools,Paducah,McCracken,Kentucky
Paintsville Independent Schools,Paintsville,Johnson,Kentucky
Paris Independent Schools,Paris,Bourbon,Kentucky
Pendleton County Schools,Falmouth,Pendleton,Kentucky
Perry County Schools,Hazard,Perry,Kentucky
Pike County Schools,Pikeville,Pike,Kentucky
Pikeville Independent Schools,Pikeville,Pike,Kentucky
Pineville Independent Schools,Pineville,Bell,Kentucky
Powell County Schools,Stanton,Powell,Kentucky
Pulaski County Schools,Somerset,Pulaski,Kentucky
Raceland-Worthington Independent Schools,Raceland,Greenup,Kentucky
Robertson County Schools,Mount Olivet,Robertson,Kentucky
Rockcastle County Schools,Mount Vernon,Rockcastle,Kentucky
Rowan County Schools,Morehead,Rowan,Kentucky
Russell County Schools,Jamestown,Russell,Kentucky
Russell Independent School District,Flatwoods,Greenup,Kentucky
Russellville Independent Schools,Russellville,Logan,Kentucky
Science Hill Independent School District,Science Hill,Pulaski,Kentucky
Scott County Schools,Georgetown,Scott,Kentucky
Shelby County Public Schools,Shelbyville,Shelby,Kentucky
Simpson County Schools,Franklin,Simpson,Kentucky
Somerset Independent Schools,Somerset,Pulaski,Kentucky
Southgate Independent School District,Southgate,Campbell,Kentucky
Spencer County Schools,Taylorsville,Spencer,Kentucky
Taylor County Schools,Campbellsville,Taylor,Kentucky
Todd County Schools,Elkton,Todd,Kentucky
Trigg County Public Schools,Cadiz,Trigg,Kentucky
Trimble County Schools,Bedford,Trimble,Kentucky
Union County Public Schools,Morganfield,Union,Kentucky
Walton-Verona Independent Schools,Walton,Boone,Kentucky
Warren County Public Schools,Bowling Green,Warren,Kentucky
Washington County Schools,Springfield,Washington,Kentucky
Wayne County Schools,Monticello,Wayne,Kentucky
Webster County School District,Dixon,Webster,Kentucky
Whitley County School District,Williamsburg,Whitley,Kentucky
Williamsburg Independent Schools,Williamsburg,Whitley,Kentucky
Williamstown Independent Schools,Williamstown,Grant,Kentucky
Wolfe County Schools,Campton,Wolfe,Kentucky
Woodford County Schools,Versailles,Woodford,Kentucky
