School District,City,County,State
Eminence R-I School District,Eminence,Shannon,Missouri
Everton R-III School District,Everton,Dade,Missouri
Excelsior Springs 40 School District,Excelsior Springs,Clay,Missouri
Exeter R-VI School District,Exeter,Barry,Missouri
Fairfax R-III School District,Fairfax,Atchison,Missouri
Fair Grove R-10 School District,Fair Grove,Greene,Missouri
Fair Play R-II School District,Fair Play,Polk,Missouri
Fairview R-XI School District,West Plains,Howell,Missouri
Farmington R-7 School District,Farmington,St. Francois,Missouri
Fayette R-III School District,Fayette,Howard,Missouri
Ferguson-Florissant School District,Hazelwood,St. Louis,Missouri
Festus R-6 School District,Festus,Jefferson,Missouri
Fordland R-III School District,Fordland,Webster,Missouri
Forsyth R-III School District,Forsyth,Taney,Missouri
Fort Osage R-I School District,Independence,Jackson,Missouri
Fort Zumwalt R-II School District,O'Fallon,St. Charles,Missouri
Fox C-6 School District,Arnold,Jefferson,Missouri
Francis Howell School District,St. Charles,St. Charles,Missouri
Franklin County R-II School District,Washington,Franklin,Missouri
Fredericktown R-I School District,Fredericktown,Madison,Missouri
Fulton School District,Fulton,Callaway,Missouri
Gainesville R-V School District,Gainesville,Ozark,Missouri
Galena R-II School District,Galena,Stone,Missouri
Gallatin R-V School District,Gallatin,Daviess,Missouri
Gasconade C-4 School District,Hermann,Gasconade,Missouri
Gasconade County R-II School District,Owensville,Gasconade,Missouri
Gasconade County R-I School District,Bland,Gasconade,Missouri
Gideon School District,Gideon,New Madrid,Missouri
Gilliam C-4 School District,Gilliam,Saline,Missouri
Gilman City R-IV School District,Gilman City,Harrison,Missouri
Glasgow School District,Glasgow,Howard,Missouri
Glenwood R-VIII School District,West Plains,Howell,Missouri
Golden City School District,Golden City,Barton,Missouri
Grain Valley R-V School District,Grain Valley,Jackson,Missouri
Grandview C-4 School District,Grandview,Jackson,Missouri
Grandview R-II School District,Grandview,Washington,Missouri
Green City R-I School District,Green City,Sullivan,Missouri
Greenfield R-IV School District,Greenfield,Dade,Missouri
Green Forest R-II School District,Green Forest,Carroll,Missouri
Green Ridge R-VIII School District,Green Ridge,Pettis,Missouri
Greenville R-II School District,Greenville,Wayne,Missouri
Grundy County R-V School District,Galt,Grundy,Missouri
Hale R-I School District,Hale,Carroll,Missouri
Halfway R-III School District,Halfway,Polk,Missouri
Hallsville R-IV School District,Hallsville,Boone,Missouri
Hamilton R-II School District,Hamilton,Caldwell,Missouri
Hancock Place School District,St. Louis,St. Louis,Missouri
Hannibal School District,Hannibal,Marion,Missouri
Hardeman R-X School District,Hardeman,Livingston,Missouri
Hardin-Central C-2 School District,Hardin,Ray,Missouri
Harrisburg R-VIII School District,Harrisburg,Boone,Missouri
Harrisonville R-IX School District,Harrisonville,Cass,Missouri
Hartville R-II School District,Hartville,Wright,Missouri
Hayti R-II School District,Hayti,Pemiscot,Missouri
Hazelwood School District,Florissant,St. Louis,Missouri
Henry County R-I School District,Clinton,Henry,Missouri
Hermitage R-IV School District,Hermitage,Hickory,Missouri
Hickman Mills C-1 School District,Kansas City,Jackson,Missouri
Hickory County R-I School District,Urbana,Hickory,Missouri
Higbee R-VIII School District,Higbee,Randolph,Missouri
High Point R-III School District,High Point,Moniteau,Missouri
Hillsboro R-III School District,Hillsboro,Jefferson,Missouri
Holcomb R-III School District,Holcomb,Dunklin,Missouri
Holden R-III School District,Holden,Johnson,Missouri
Holliday C-2 School District,Holliday,Monroe,Missouri
Hollister R-V School District,Hollister,Taney,Missouri
Houston R-I School District,Houston,Texas,Missouri
Howell Valley R-I School District,West Plains,Howell,Missouri
Hudson R-IX School District,Humansville,Hickory,Missouri
Humansville R-IV School District,Humansville,Hickory,Missouri
Hume R-VIII School District,Hume,Bates,Missouri
Hurley R-I School District,Hurley,Stone,Missouri
Iberia R-V School District,Iberia,Miller,Missouri
Independence School District,Independence,Jackson,Missouri
Iron County C-4 School District,Viburnum,Iron,Missouri
Jackson R-II School District,Jackson,Cape Girardeau,Missouri
Jamestown C-1 School District,Jamestown,Moniteau,Missouri
Jasper County R-V School District,Jasper,Jasper,Missouri
Jefferson C-123 School District,Conception Junction,Nodaway,Missouri
Jefferson City Public Schools,Jefferson City,Cole,Missouri
Jefferson County R-VII School District,Festus,Jefferson,Missouri
Jennings School District,Jennings,St. Louis,Missouri
Johnson County R-VII School District,Warrensburg,Johnson,Missouri
Joplin R-VIII School District,Joplin,Jasper,Missouri
Junction Hill C-12 School District,West Plains,Howell,Missouri
Kansas City Public Schools,Kansas City,Jackson,Missouri
Kearney R-I School District,Kearney,Clay,Missouri
Kelso C-7 School District,Kelso,Scott,Missouri
Kennett 39 School District,Kennett,Dunklin,Missouri
Keytesville R-III School District,Keytesville,Chariton,Missouri
King City R-I School District,King City,Gentry,Missouri
Kingston 42 School District,Cadet,Washington,Missouri
