School District,City,County,State
Dallas School District,Dallas,Luzerne,Pennsylvania
Dallastown Area School District,Dallastown,York,Pennsylvania
Daniel Boone Area School District,Birdsboro,Berks,Pennsylvania
Danville Area School District,Danville,Montour,Pennsylvania
Deer Lakes School District,Cheswick,Allegheny,Pennsylvania
Delaware Valley School District,Milford,Pike,Pennsylvania
Derry Area School District,Derry,Westmoreland,Pennsylvania
Derry Township School District,Hershey,Dauphin,Pennsylvania
Donegal School District,Mount Joy,Lancaster,Pennsylvania
Dover Area School District,Dover,York,Pennsylvania
Downingtown Area School District,Downingtown,Chester,Pennsylvania
DuBois Area School District,DuBois,Clearfield,Pennsylvania
Dunmore School District,Dunmore,Lackawanna,Pennsylvania
Duquesne City School District,Duquesne,Allegheny,Pennsylvania
East Allegheny School District,North Versailles,Allegheny,Pennsylvania
Eastern Lancaster County School District,New Holland,Lancaster,Pennsylvania
Eastern Lebanon County School District,Myerstown,Lebanon,Pennsylvania
Eastern York School District,Wrightsville,York,Pennsylvania
East Lycoming School District,Hughesville,Lycoming,Pennsylvania
Easton Area School District,Easton,Northampton,Pennsylvania
East Penn School District,Emmaus,Lehigh,Pennsylvania
East Pennsboro Area School District,Enola,Cumberland,Pennsylvania
East Stroudsburg Area School District,East Stroudsburg,Monroe,Pennsylvania
Elizabeth Forward School District,Elizabeth,Allegheny,Pennsylvania
Elizabethtown Area School District,Elizabethtown,Lancaster,Pennsylvania
Elk Lake School District,Springville,Susquehanna,Pennsylvania
Ellwood City Area School District,Ellwood City,Lawrence,Pennsylvania
Ephrata Area School District,Ephrata,Lancaster,Pennsylvania
Erie City School District,Erie,Erie,Pennsylvania
Everett Area School District,Everett,Bedford,Pennsylvania
Exeter Township School District,Reading,Berks,Pennsylvania
Fairfield Area School District,Fairfield,Adams,Pennsylvania
Fairview School District,Fairview,Erie,Pennsylvania
Fannett-Metal School District,Willow Hill,Franklin,Pennsylvania
Farrell Area School District,Farrell,Mercer,Pennsylvania
Ferndale Area School District,Johnstown,Cambria,Pennsylvania
Fleetwood Area School District,Fleetwood,Berks,Pennsylvania
Forbes Road School District,Waterfall,Fulton,Pennsylvania
Forest Area School District,Tionesta,Forest,Pennsylvania
Forest City Regional School District,Forest City,Susquehanna,Pennsylvania
Forest Hills School District,Sidman,Cambria,Pennsylvania
Fort Cherry School District,McDonald,Washington,Pennsylvania
Fort LeBoeuf School District,Waterford,Erie,Pennsylvania
Fox Chapel Area School District,Pittsburgh,Allegheny,Pennsylvania
Franklin Area School District,Franklin,Venango,Pennsylvania
Franklin Regional School District,Murrysville,Westmoreland,Pennsylvania
Frazier School District,Perryopolis,Fayette,Pennsylvania
Freedom Area School District,Freedom,Beaver,Pennsylvania
Freeport Area School District,Sarver,Butler,Pennsylvania
Galeton Area School District,Galeton,Potter,Pennsylvania
Garnet Valley School District,Glen Mills,Delaware,Pennsylvania
Gateway School District,Monroeville,Allegheny,Pennsylvania
General McLane School District,Edinboro,Erie,Pennsylvania
Gettysburg Area School District,Gettysburg,Adams,Pennsylvania
Girard School District,Girard,Erie,Pennsylvania
Glendale School District,Flinton,Cambria,Pennsylvania
Governor Mifflin School District,Shillington,Berks,Pennsylvania
Greater Johnstown School District,Johnstown,Cambria,Pennsylvania
Greater Latrobe School District,Latrobe,Westmoreland,Pennsylvania
Greater Nanticoke Area School District,Nanticoke,Luzerne,Pennsylvania
Great Valley School District,Malvern,Chester,Pennsylvania
Greencastle-Antrim School District,Greencastle,Franklin,Pennsylvania
Greensburg Salem School District,Greensburg,Westmoreland,Pennsylvania
Greenville Area School District,Greenville,Mercer,Pennsylvania
Greenwood School District,Millerstown,Perry,Pennsylvania
Grove City Area School District,Grove City,Mercer,Pennsylvania
Halifax Area School District,Halifax,Dauphin,Pennsylvania
Hamburg Area School District,Hamburg,Berks,Pennsylvania
Hampton Township School District,Allison Park,Allegheny,Pennsylvania
Hanover Area School District,Hanover Township,Luzerne,Pennsylvania
Hanover Public School District,Hanover,York,Pennsylvania
Harbor Creek School District,Harborcreek,Erie,Pennsylvania
Harmony Area School District,Westover,Clearfield,Pennsylvania
Harrisburg City School District,Harrisburg,Dauphin,Pennsylvania
Hatboro-Horsham School District,Horsham,Montgomery,Pennsylvania
Haverford Township School District,Havertown,Delaware,Pennsylvania
Hazleton Area School District,Hazleton,Luzerne,Pennsylvania
Hempfield Area School District,Greensburg,Westmoreland,Pennsylvania
Hempfield School District,Landisville,Lancaster,Pennsylvania
Hermitage School District,Hermitage,Mercer,Pennsylvania
Highlands School District,Natrona Heights,Allegheny,Pennsylvania
Hollidaysburg Area School District,Hollidaysburg,Blair,Pennsylvania
Homer-Center School District,Homer City,Indiana,Pennsylvania
Hopewell Area School District,Aliquippa,Beaver,Pennsylvania
Huntingdon Area School District,Huntingdon,Huntingdon,Pennsylvania
Indiana Area School District,Indiana,Indiana,Pennsylvania
Interboro School District,Prospect Park,Delaware,Pennsylvania
Iroquois School District,Erie,Erie,Pennsylvania
Jamestown Area School District,Jamestown,Mercer,Pennsylvania
Jeannette City School District,Jeannette,Westmoreland,Pennsylvania
Jefferson-Morgan School District,Jefferson,Greene,Pennsylvania
Jenkintown School District,Jenkintown,Montgomery,Pennsylvania
Jersey Shore Area School District,Jersey Shore,Lycoming,Pennsylvania
Jim Thorpe Area School District,Jim Thorpe,Carbon,Pennsylvania
Johnsonburg Area School District,Johnsonburg,Elk,Pennsylvania
Juniata County School District,Mifflintown,Juniata,Pennsylvania
Juniata Valley School District,Alexandria,Huntingdon,Pennsylvania
Kane Area School District,Kane,McKean,Pennsylvania
Karns City Area School District,Karns City,Butler,Pennsylvania
Kennett Consolidated School District,Kennett Square,Chester,Pennsylvania
Keystone Central School District,Mill Hall,Clinton,Pennsylvania
Keystone Oaks School District,Pittsburgh,Allegheny,Pennsylvania
