School District,City,County,State
Regional School District 4,Essex,Lower Connecticut River Valley,Connecticut 
Regional School District 5,Bethany,South Central Connecticut,Connecticut 
Regional School District 7,Winsted,Northwest Hills,Connecticut 
Regional School District 8,Hebron,Capitol,Connecticut 
Regional School District 9,Easton,Western Connecticut,Connecticut 
Regional School District 10,Harwinton,Northwest Hills / Hartford / Litchfield counties,Connecticut 
Regional School District 11,Hampton,Northeastern Connecticut / Windham counties,Connecticut 
Regional School District 12,Washington Depot,Northwest Hills,Connecticut 
Regional School District 13,Durham,Lower Connecticut River Valley / New Haven counties,Connecticut 
Regional School District 14,Woodbury,Naugatuck Valley,Connecticut 
Regional School District 15,Middlebury,Naugatuck Valley,Connecticut 
Regional School District 16,Prospect,Naugatuck Valley / New Haven counties,Connecticut 
Regional School District 17,Higganum,Lower Connecticut River Valley,Connecticut 
Regional School District 18,Old Lyme,Lower Connecticut River Valley,Connecticut 
Regional School District 19,Mansfield,Northeastern Connecticut,Connecticut 
Regional School District 20,Litchfield,Northwest Hills,Connecticut 
Ridgefield Public Schools,Ridgefield,Western Connecticut,Connecticut 
Rocky Hill Public Schools,Rocky Hill,Capitol,Connecticut 
Salem School District,Salem,Southeastern Connecticut,Connecticut 
Salisbury School District,Salisbury,Northwest Hills,Connecticut 
Scotland School District,Scotland,Northeastern Connecticut,Connecticut 
Seymour Public Schools,Seymour,Naugatuck Valley,Connecticut 
Sharon School District,Sharon,Northwest Hills,Connecticut 
Shelton Public Schools,Shelton,Naugatuck Valley,Connecticut 
Sherman School District,Sherman,Western Connecticut,Connecticut 
Simsbury Public Schools,Simsbury,Capitol,Connecticut 
Somers Public Schools,Somers,Capitol,Connecticut 
Southington Public Schools,Southington,Naugatuck Valley,Connecticut 
South Windsor Public Schools,South Windsor,Capitol,Connecticut 
Sprague Public Schools,Sprague,Southeastern Connecticut,Connecticut 
Stafford Public Schools,Stafford,Capitol,Connecticut 
Stamford Public Schools,Stamford,Western Connecticut,Connecticut 
Sterling School District,Sterling,Northeastern Connecticut,Connecticut 
Stonington Public Schools,Stonington,Southeastern Connecticut,Connecticut 
Stratford Public Schools,Stratford,Greater Bridgeport,Connecticut 
Suffield Public Schools,Suffield,Capitol,Connecticut 
Thomaston Public Schools,Thomaston,Naugatuck Valley,Connecticut 
Thompson Public Schools,Thompson,Northeastern Connecticut,Connecticut 
Tolland Public Schools,Tolland,Capitol,Connecticut 
Torrington Public Schools,Torrington,Northwest Hills,Connecticut 
Trumbull Public Schools,Trumbull,Greater Bridgeport,Connecticut 
Union School District,Union,Northeastern Connecticut,Connecticut 
Vernon Public Schools,Vernon,Capitol,Connecticut 
Voluntown School District,Voluntown,Northeastern Connecticut,Connecticut 
Wallingford Public Schools,Wallingford,South Central Connecticut,Connecticut 
Waterbury Public Schools,Waterbury,Naugatuck Valley,Connecticut 
Waterford Public Schools,Waterford,Southeastern Connecticut,Connecticut 
Watertown Public Schools,Watertown,Naugatuck Valley,Connecticut 
Westbrook Public Schools,Westbrook,Lower Connecticut River Valley,Connecticut 
West Hartford Public Schools,West Hartford,Capitol,Connecticut 
West Haven Public Schools,West Haven,South Central Connecticut,Connecticut 
Weston Public Schools,Weston,Western Connecticut,Connecticut 
Westport Public Schools,Westport,Western Connecticut,Connecticut 
Wethersfield Public Schools,Wethersfield,Capitol,Connecticut 
Willington Public Schools,Willington,Northeastern Connecticut,Connecticut 
Wilton Public Schools,Wilton,Western Connecticut,Connecticut 
Winchester Public Schools,Winchester,Northwest Hills,Connecticut 
Windham Public Schools,Windham,Northeastern Connecticut,Connecticut 
Windsor Locks Public Schools,Windsor Locks,Capitol,Connecticut 
Windsor Public Schools,Windsor,Capitol,Connecticut 
Wolcott Public Schools,Wolcott,Naugatuck Valley,Connecticut 
Woodbridge Public Schools,Woodbridge,South Central Connecticut,Connecticut 
Woodstock Public Schools,Woodstock,Northeastern Connecticut,Connecticut 
